Location,MAC,avg_rssi,var_rssi,std_rssi,max_rssi,min_rssi,count
ev_5_1_1,2a:3f:1b:59:2e:74,-78.0,5.517241379310341,2.348880878058813,-75,-81,30
ev_5_1_1,2a:3f:1b:e2:63:60,-68.0,4.827586206896576,2.197176872010211,-65,-72,30
ev_5_1_1,2a:3f:1b:e2:63:fb,-61.74074074074074,2.5071225071225105,1.5833895626542795,-61,-65,27
ev_5_1_1,2a:3f:1b:e2:67:10,-75.5,18.879310344827626,4.345032835874503,-69,-79,30
ev_5_1_1,2c:3f:0b:59:2e:74,-68.0,0.0,0.0,-68,-68,5
ev_5_1_1,2c:3f:0b:e2:63:60,-64.5,2.5,1.5811388300841898,-63,-66,10
ev_5_1_1,2c:3f:0b:e2:63:fb,-51.5,2.500000000000001,1.58113883008419,-50,-53,10
ev_5_1_1,2c:3f:0b:e2:65:79,-81.0,0.0,0.0,-81,-81,5
ev_5_1_1,2c:3f:0b:e2:65:b0,-74.75,0.7236842105263158,0.8506963092234007,-74,-76,20
ev_5_1_1,2c:3f:0b:e2:67:10,-65.5,0.2777777777777761,0.5270462766947284,-65,-66,10
ev_5_1_1,2e:3f:1b:59:2e:74,-77.5,2.5,1.5811388300841898,-76,-79,10
ev_5_1_1,2e:3f:1b:e2:63:60,-69.0,6.4285714285714395,2.535462764185552,-66,-72,15
ev_5_1_1,2e:3f:1b:e2:67:10,-75.66666666666667,17.380952380952387,4.169046939163961,-70,-79,15
ev_5_1_1,32:cd:a7:32:0e:12,-62.333333333333336,22.643678160919514,4.758537397238727,-55,-68,30
ev_5_1_1,34:fc:b9:c8:20:83,-86.0,0.0,0.0,-86,-86,5
ev_5_1_1,36:3f:0b:59:2d:a4,-74.4,3.1666666666666505,1.779513042005214,-72,-77,25
ev_5_1_1,36:3f:0b:59:2e:60,-60.5,1.63793103448276,1.2798167972341823,-59,-63,30
ev_5_1_1,36:3f:0b:59:2e:74,-66.83333333333333,0.8333333333333436,0.9128709291752825,-65,-68,30
ev_5_1_1,36:3f:0b:e2:63:60,-63.333333333333336,5.747126436781633,2.397316507426926,-61,-67,30
ev_5_1_1,36:3f:0b:e2:63:fb,-51.666666666666664,0.9195402298850579,0.9589266029707685,-50,-53,30
ev_5_1_1,36:3f:0b:e2:65:79,-79.0,5.000000000000002,2.2360679774997902,-77,-82,15
ev_5_1_1,36:3f:0b:e2:65:b0,-73.2,1.0000000000000082,1.000000000000004,-72,-75,25
ev_5_1_1,36:3f:0b:e2:66:60,-80.0,0.0,0.0,-80,-80,5
ev_5_1_1,36:3f:0b:e2:67:10,-67.5,0.2631578947368382,0.5129891760425732,-67,-68,20
ev_5_1_1,36:3f:0b:e2:67:13,-81.0,0.0,0.0,-81,-81,5
ev_5_1_1,36:3f:1b:59:2e:74,-78.33333333333333,4.712643678160919,2.1708624272765236,-75,-81,30
ev_5_1_1,36:3f:1b:e2:63:60,-68.16666666666667,4.2816091954022975,2.069204966986668,-65,-72,30
ev_5_1_1,36:3f:1b:e2:67:10,-75.83333333333333,17.72988505747128,4.210687005403189,-70,-79,30
ev_5_1_1,3c:7c:3f:3e:1f:c8,-85.0,0.0,0.0,-85,-85,5
ev_5_1_1,58:86:94:a1:6e:5c,-75.0,0.0,0.0,-75,-75,5
ev_5_1_1,58:86:94:ae:06:de,-63.25,9.144736842105255,3.0240265941464957,-59,-66,20
ev_5_1_1,58:86:94:ae:06:df,-74.5,5.431034482758566,2.3304579984969833,-71,-77,30
ev_5_1_1,58:86:94:ea:f7:4c,-77.6,0.2499999999999932,0.49999999999999317,-77,-78,25
ev_5_1_1,68:27:19:3d:b8:2d,-69.0,2.083333333333335,1.443375672974065,-67,-71,25
ev_5_1_1,70:5d:cc:1d:b2:a8,-69.16666666666667,6.005747126436815,2.4506625892678118,-65,-72,30
ev_5_1_1,70:5d:cc:39:67:e4,-79.83333333333333,9.109195402298857,3.0181443640586276,-75,-85,30
ev_5_1_1,70:5d:cc:a3:b1:fa,-84.0,0.0,0.0,-84,-84,5
ev_5_1_1,72:5d:cc:4d:b2:a8,-63.25,3.881578947368414,1.970172314131029,-61,-66,20
ev_5_1_1,72:5d:cc:c3:6b:0c,-88.0,0.0,0.0,-88,-88,5
ev_5_1_1,78:db:2f:0f:ec:59,-69.0,0.0,0.0,-69,-69,5
ev_5_1_1,78:db:2f:0f:ed:8e,-73.8,8.916666666666696,2.9860788111948247,-69,-78,25
ev_5_1_1,78:db:2f:0f:ee:04,-59.833333333333336,5.316091954023,2.305665186887073,-57,-63,30
ev_5_1_1,78:db:2f:0f:f4:4e,-82.0,0.0,0.0,-82,-82,5
ev_5_1_1,78:db:2f:10:03:1d,-63.6,17.75000000000001,4.21307488658818,-59,-69,25
ev_5_1_1,78:db:2f:10:04:65,-79.0,0.0,0.0,-79,-79,5
ev_5_1_1,86:25:19:a0:cb:e8,-71.5,0.2777777777777761,0.5270462766947284,-71,-72,10
ev_5_1_1,86:25:19:a4:44:8b,-77.4,9.41666666666664,3.068658773253657,-73,-82,25
ev_5_1_1,88:36:6c:0c:b6:4c,-67.33333333333333,13.333333333333282,3.6514837167011005,-62,-72,30
ev_5_1_1,88:36:6c:0c:b6:4e,-62.5,2.3684210526315788,1.538967528127731,-61,-65,20
ev_5_1_1,88:36:6c:42:04:34,-66.0,1.1111111111111143,1.0540925533894612,-65,-67,10
ev_5_1_1,88:36:6c:42:04:36,-77.66666666666667,1.9540229885057558,1.3978637231524953,-76,-80,30
ev_5_1_1,88:36:6c:d1:7d:90,-71.0,2.105263157894739,1.450952500220024,-69,-73,20
ev_5_1_1,88:36:6c:d1:7d:92,-67.0,0.0,0.0,-67,-67,5
ev_5_1_1,8a:36:6c:cd:f1:80,-86.0,0.0,0.0,-86,-86,5
ev_5_1_1,90:9f:33:90:6f:a6,-82.5,6.944444444444444,2.6352313834736494,-80,-85,10
ev_5_1_1,c6:9e:28:74:f8:92,-76.0,0.0,0.0,-76,-76,5
ev_5_1_1,c6:9e:38:74:f8:92,-87.0,8.947368421052646,2.9912152080805963,-85,-92,20
ev_5_1_1,e2:73:e7:80:67:5a,-78.33333333333333,1.264367816091964,1.1244411127720135,-77,-80,30
ev_5_1_1,f6:9e:28:74:f8:92,-76.75,7.039473684210529,2.6532006490671844,-74,-81,20
ev_5_1_1,f6:9e:38:74:f8:92,-88.33333333333333,23.333333333333332,4.83045891539648,-85,-96,30
ev_5_1_1,f8:9e:28:74:f8:92,-76.5,0.2777777777777761,0.5270462766947284,-76,-77,10
ev_5_1_1,fa:9e:38:74:f8:92,-86.0,0.0,0.0,-86,-86,5
ev_5_1_2,00:11:32:7c:45:c9,-92.6,1.0833333333333488,1.0408329997330739,-91,-94,25
ev_5_1_2,12:3f:0b:59:2e:60,-62.0,0.0,0.0,-62,-62,5
ev_5_1_2,12:3f:0b:59:2e:74,-67.0,0.0,0.0,-67,-67,5
ev_5_1_2,12:3f:0b:59:2e:7f,-86.0,0.0,0.0,-86,-86,5
ev_5_1_2,12:3f:0b:e2:63:60,-60.0,1.1111111111111056,1.0540925533894572,-59,-61,10
ev_5_1_2,12:3f:0b:e2:63:fb,-54.5,2.500000000000001,1.58113883008419,-53,-56,10
ev_5_1_2,12:3f:0b:e2:65:79,-81.0,10.000000000000004,3.16227766016838,-78,-84,10
ev_5_1_2,12:3f:0b:e2:67:10,-70.0,1.1111111111111143,1.0540925533894612,-69,-71,10
ev_5_1_2,12:3f:1b:59:2e:74,-75.0,0.7142857142857165,0.8451542547285179,-74,-76,15
ev_5_1_2,12:3f:1b:e2:63:60,-68.33333333333333,0.23809523809523778,0.48795003647426627,-68,-69,15
ev_5_1_2,12:3f:1b:e2:67:10,-74.5,0.2777777777777761,0.5270462766947284,-74,-75,10
ev_5_1_2,12:3f:1b:f3:73:d7,-92.66666666666667,0.9523809523809514,0.9759000729485326,-92,-94,15
ev_5_1_2,16:11:32:7c:45:c9,-92.66666666666667,0.9523809523809446,0.9759000729485292,-92,-94,15
ev_5_1_2,1c:28:af:ae:f9:62,-76.5,0.2777777777777761,0.5270462766947284,-76,-77,10
ev_5_1_2,1e:39:29:78:15:6e,-89.0,4.444444444444422,2.1081851067789144,-87,-91,10
ev_5_1_2,22:3f:0b:59:2d:a4,-78.66666666666667,0.23809523809523778,0.48795003647426627,-78,-79,15
ev_5_1_2,22:3f:0b:59:2e:60,-62.333333333333336,0.9195402298850549,0.9589266029707669,-61,-63,30
ev_5_1_2,22:3f:0b:59:2e:74,-63.8,6.4166666666667025,2.533114025595118,-61,-68,25
ev_5_1_2,22:3f:0b:e2:63:60,-59.833333333333336,1.8678160919540205,1.3666806839763341,-58,-62,30
ev_5_1_2,22:3f:0b:e2:63:fb,-55.5,3.0172413793103394,1.7370208344491265,-52,-57,30
ev_5_1_2,22:3f:0b:e2:65:79,-77.6,6.08333333333334,2.466441431158125,-75,-82,25
ev_5_1_2,22:3f:0b:e2:65:b0,-73.0,0.5263157894736858,0.7254762501100128,-72,-74,20
ev_5_1_2,22:3f:0b:e2:66:60,-77.0,0.0,0.0,-77,-77,5
ev_5_1_2,22:3f:0b:e2:67:10,-73.0,0.7142857142857165,0.8451542547285179,-72,-74,15
ev_5_1_2,22:3f:1b:59:2e:74,-75.16666666666667,0.48850574712644773,0.6989318615762539,-74,-76,30
ev_5_1_2,22:3f:1b:e2:63:60,-68.66666666666667,1.60919540229885,1.268540658512312,-67,-71,30
ev_5_1_2,22:3f:1b:e2:67:10,-74.83333333333333,0.48850574712644845,0.6989318615762544,-74,-76,30
ev_5_1_2,22:3f:1b:f3:73:d7,-92.0,1.0344827586206944,1.0170952554312178,-91,-94,30
ev_5_1_2,26:3f:0b:59:2d:a4,-77.5,2.5,1.5811388300841898,-76,-79,10
ev_5_1_2,26:3f:0b:59:2e:60,-64.0,0.0,0.0,-64,-64,5
ev_5_1_2,26:3f:0b:59:2e:74,-64.0,6.896551724137934,2.6261286571944518,-61,-69,30
ev_5_1_2,26:3f:0b:e2:63:60,-59.5,0.9482758620689621,0.9737945687202009,-58,-61,30
ev_5_1_2,26:3f:0b:e2:63:fb,-55.666666666666664,2.9885057471264416,1.7287295182088034,-52,-57,30
ev_5_1_2,26:3f:0b:e2:65:79,-77.33333333333333,0.238095238095235,0.48795003647426344,-77,-78,15
ev_5_1_2,26:3f:0b:e2:65:b0,-73.75,0.7236842105263225,0.8506963092234047,-73,-75,20
ev_5_1_2,26:3f:0b:e2:66:60,-77.0,0.0,0.0,-77,-77,5
ev_5_1_2,26:3f:0b:e2:67:10,-73.0,0.7142857142857165,0.8451542547285179,-72,-74,15
ev_5_1_2,26:3f:0b:e2:67:13,-81.0,0.0,0.0,-81,-81,5
ev_5_1_2,26:3f:1b:59:2e:74,-75.16666666666667,0.48850574712644773,0.6989318615762539,-74,-76,30
ev_5_1_2,26:3f:1b:e2:63:60,-68.83333333333333,1.178160919540227,1.0854312136382605,-68,-71,30
ev_5_1_2,26:3f:1b:e2:67:10,-74.66666666666667,0.5747126436781405,0.7580980435788899,-74,-76,30
ev_5_1_2,2a:3f:0b:59:2d:a4,-78.0,0.0,0.0,-78,-78,5
ev_5_1_2,2a:3f:0b:59:2e:60,-63.5,3.362068965517218,1.8335945477441893,-61,-67,30
ev_5_1_2,2a:3f:0b:59:2e:74,-63.333333333333336,2.298850574712647,1.516196087157808,-61,-66,30
ev_5_1_2,2a:3f:0b:e2:63:60,-59.666666666666664,1.264367816091947,1.124441112772006,-58,-61,30
ev_5_1_2,2a:3f:0b:e2:63:fb,-55.333333333333336,2.2988505747126493,1.5161960871578086,-52,-56,30
ev_5_1_2,2a:3f:0b:e2:65:79,-78.5,4.473684210526332,2.1151085576221216,-75,-80,20
ev_5_1_2,2a:3f:0b:e2:65:b0,-73.75,3.3552631578947127,1.8317377426626096,-71,-76,20
ev_5_1_2,2a:3f:0b:e2:66:60,-77.0,0.0,0.0,-77,-77,5
ev_5_1_2,2a:3f:0b:e2:67:10,-73.25,0.7236842105263158,0.8506963092234007,-72,-74,20
ev_5_1_2,2a:3f:1b:59:2e:74,-75.16666666666667,0.8333333333333415,0.9128709291752813,-74,-76,30
ev_5_1_2,2a:3f:1b:e2:63:60,-68.83333333333333,1.178160919540227,1.0854312136382605,-68,-71,30
ev_5_1_2,2a:3f:1b:e2:63:fb,-62.32142857142857,0.22619047619047794,0.47559486560567277,-62,-63,28
ev_5_1_2,2a:3f:1b:e2:67:10,-74.66666666666667,0.5747126436781405,0.7580980435788899,-74,-76,30
ev_5_1_2,2c:3f:0b:59:2d:a4,-78.0,0.0,0.0,-78,-78,5
ev_5_1_2,2c:3f:0b:59:2e:60,-63.0,0.0,0.0,-63,-63,5
ev_5_1_2,2c:3f:0b:59:2e:74,-67.0,0.0,0.0,-67,-67,5
ev_5_1_2,2c:3f:0b:e2:63:60,-59.5,2.500000000000001,1.58113883008419,-58,-61,10
ev_5_1_2,2c:3f:0b:e2:63:fb,-55.0,4.999999999999999,2.2360679774997894,-52,-57,15
ev_5_1_2,2c:3f:0b:e2:65:79,-77.25,2.828947368421027,1.6819474927657603,-76,-80,20
ev_5_1_2,2c:3f:0b:e2:65:b0,-73.5,13.611111111111102,3.689323936863108,-70,-77,10
ev_5_1_2,2c:3f:0b:e2:67:10,-74.0,0.0,0.0,-74,-74,5
ev_5_1_2,2e:3f:1b:59:2e:74,-75.33333333333333,0.23809523809523778,0.48795003647426627,-75,-76,15
ev_5_1_2,2e:3f:1b:e2:63:60,-68.66666666666667,0.23809523809523778,0.48795003647426627,-68,-69,15
ev_5_1_2,2e:3f:1b:e2:67:10,-75.0,0.0,0.0,-75,-75,10
ev_5_1_2,32:cd:a7:32:0e:12,-63.5,13.362068965517265,3.655416387433484,-60,-69,30
ev_5_1_2,34:fc:b9:c8:fe:22,-86.0,0.0,0.0,-86,-86,5
ev_5_1_2,34:fc:b9:c9:05:c0,-85.0,0.0,0.0,-85,-85,5
ev_5_1_2,34:fc:b9:c9:05:c1,-82.0,0.0,0.0,-82,-82,5
ev_5_1_2,34:fc:b9:c9:05:c2,-83.0,1.1111111111111143,1.0540925533894612,-82,-84,10
ev_5_1_2,36:3f:0b:59:2d:a4,-78.66666666666667,0.23809523809523778,0.48795003647426627,-78,-79,15
ev_5_1_2,36:3f:0b:59:2e:60,-62.5,1.2931034482758603,1.1371470653683544,-61,-64,30
ev_5_1_2,36:3f:0b:59:2e:74,-63.0,4.166666666666658,2.041241452319313,-60,-66,25
ev_5_1_2,36:3f:0b:e2:63:60,-59.666666666666664,1.9540229885057419,1.3978637231524902,-58,-62,30
ev_5_1_2,36:3f:0b:e2:63:fb,-55.666666666666664,1.609195402298848,1.2685406585123111,-53,-57,30
ev_5_1_2,36:3f:0b:e2:65:79,-77.66666666666667,0.9523809523809446,0.9759000729485292,-77,-79,15
ev_5_1_2,36:3f:0b:e2:65:9a,-83.0,0.0,0.0,-83,-83,5
ev_5_1_2,36:3f:0b:e2:65:b0,-74.16666666666667,1.8678160919540594,1.3666806839763483,-72,-76,30
ev_5_1_2,36:3f:0b:e2:66:60,-77.0,0.0,0.0,-77,-77,5
ev_5_1_2,36:3f:0b:e2:67:10,-73.0,0.5263157894736883,0.7254762501100145,-72,-74,20
ev_5_1_2,36:3f:0b:e2:67:13,-80.0,0.0,0.0,-80,-80,5
ev_5_1_2,36:3f:1b:59:2e:74,-75.16666666666667,0.48850574712644773,0.6989318615762539,-74,-76,30
ev_5_1_2,36:3f:1b:e2:63:60,-68.83333333333333,1.178160919540227,1.0854312136382605,-68,-71,30
ev_5_1_2,36:3f:1b:e2:67:10,-74.83333333333333,0.48850574712644845,0.6989318615762544,-74,-76,30
ev_5_1_2,3c:7c:3f:3e:1f:c8,-81.0,0.0,0.0,-81,-81,5
ev_5_1_2,58:86:94:a1:6e:5c,-72.0,1.1111111111111143,1.0540925533894612,-71,-73,10
ev_5_1_2,58:86:94:ae:06:de,-54.5,6.578947368421068,2.564945880212888,-51,-58,20
ev_5_1_2,58:86:94:ae:06:df,-74.83333333333333,1.8678160919540399,1.3666806839763412,-73,-77,30
ev_5_1_2,58:86:94:ea:f7:4c,-75.33333333333333,3.678160919540221,1.9178532059415343,-73,-79,30
ev_5_1_2,5a:86:94:46:4a:a8,-96.0,0.0,0.0,-96,-96,5
ev_5_1_2,68:27:19:3d:b8:2d,-65.83333333333333,7.040229885057481,2.6533431525261637,-62,-70,30
ev_5_1_2,70:5d:cc:0e:4f:04,-82.0,0.0,0.0,-82,-82,5
ev_5_1_2,70:5d:cc:1d:b2:a8,-66.33333333333333,0.9195402298850474,0.958926602970763,-65,-68,30
ev_5_1_2,70:5d:cc:39:67:e4,-76.0,2.9166666666666363,1.7078251276599241,-74,-79,25
ev_5_1_2,72:5d:cc:4d:b2:a8,-64.0,3.1578947368421093,1.7770466332772783,-63,-67,20
ev_5_1_2,72:5d:cc:c3:6b:0c,-82.0,0.0,0.0,-82,-82,5
ev_5_1_2,78:db:2f:0f:ec:59,-72.0,0.0,0.0,-72,-72,5
ev_5_1_2,78:db:2f:0f:ed:8e,-69.5,9.210526315789474,3.03488489333442,-66,-74,20
ev_5_1_2,78:db:2f:0f:ee:04,-69.25,15.460526315789465,3.931987578285245,-65,-74,20
ev_5_1_2,78:db:2f:0f:f4:4e,-85.0,10.000000000000004,3.16227766016838,-82,-88,10
ev_5_1_2,78:db:2f:10:03:1d,-62.166666666666664,3.936781609195398,1.9841324575731827,-60,-65,30
ev_5_1_2,78:db:2f:10:04:65,-74.25,4.407894736842133,2.0994986870303425,-71,-76,20
ev_5_1_2,86:25:19:a0:cb:e8,-74.4,9.416666666666647,3.068658773253658,-71,-80,25
ev_5_1_2,86:25:19:a4:44:8b,-84.5,0.2631578947368382,0.5129891760425732,-84,-85,20
ev_5_1_2,88:36:6c:0c:b6:4c,-75.5,0.26315789473683615,0.5129891760425712,-75,-76,20
ev_5_1_2,88:36:6c:0c:b6:4e,-67.5,2.5,1.5811388300841898,-66,-69,10
ev_5_1_2,88:36:6c:42:04:34,-66.0,4.73684210526318,2.17642875033004,-63,-69,20
ev_5_1_2,88:36:6c:42:04:36,-81.0,1.379310344827602,1.1744404390294136,-80,-83,30
ev_5_1_2,88:36:6c:d1:7d:90,-69.25,3.3552631578947385,1.8317377426626167,-67,-71,20
ev_5_1_2,8a:36:6c:cd:f1:80,-77.0,0.0,0.0,-77,-77,5
ev_5_1_2,a6:46:9d:19:f8:f3,-78.0,0.0,0.0,-78,-78,5
ev_5_1_2,a6:46:9d:1a:25:8c,-84.0,0.0,0.0,-84,-84,5
ev_5_1_2,c6:9e:38:74:f8:92,-85.0,0.0,0.0,-85,-85,10
ev_5_1_2,da:55:a8:6e:51:f5,-80.5,2.5,1.5811388300841898,-79,-82,10
ev_5_1_2,da:55:b8:6e:51:f5,-95.0,0.0,0.0,-95,-95,5
ev_5_1_2,e2:73:e7:80:67:5a,-75.5,2.5,1.5811388300841898,-74,-77,10
ev_5_1_2,ea:55:a8:6e:51:f5,-81.0,0.0,0.0,-81,-81,5
ev_5_1_2,ee:55:a8:6e:51:f5,-82.0,0.0,0.0,-82,-82,5
ev_5_1_2,f6:9e:28:74:f8:92,-76.5,21.842105263157908,4.673553815155861,-69,-81,20
ev_5_1_2,f6:9e:38:74:f8:92,-85.0,0.3448275862068995,0.587220219514706,-84,-86,30
ev_5_1_2,fe:55:a8:6e:51:f5,-82.0,0.0,0.0,-82,-82,5
ev_5_1_3,00:11:32:7c:45:c9,-91.66666666666667,3.095238095238078,1.759328876372487,-90,-94,15
ev_5_1_3,12:3f:0b:59:2d:a4,-74.5,0.2777777777777761,0.5270462766947284,-74,-75,10
ev_5_1_3,12:3f:0b:59:2e:60,-61.0,0.0,0.0,-61,-61,5
ev_5_1_3,12:3f:0b:59:2e:74,-59.0,0.0,0.0,-59,-59,10
ev_5_1_3,12:3f:0b:e2:63:60,-51.0,0.7142857142857151,0.845154254728517,-50,-52,15
ev_5_1_3,12:3f:0b:e2:63:fb,-56.333333333333336,6.666666666666673,2.5819888974716125,-53,-59,15
ev_5_1_3,12:3f:0b:e2:65:b0,-65.0,0.0,0.0,-65,-65,5
ev_5_1_3,12:3f:0b:e2:66:1f,-85.0,0.0,0.0,-85,-85,5
ev_5_1_3,12:3f:0b:e2:66:86,-76.0,17.777777777777793,4.216370213557841,-72,-80,10
ev_5_1_3,12:3f:0b:e2:67:10,-80.0,17.857142857142858,4.225771273642583,-75,-85,15
ev_5_1_3,12:3f:1b:59:2e:74,-73.5,0.2777777777777761,0.5270462766947284,-73,-74,10
ev_5_1_3,12:3f:1b:e2:63:60,-56.333333333333336,3.095238095238095,1.759328876372492,-54,-58,15
ev_5_1_3,12:3f:1b:e2:67:10,-84.66666666666667,0.238095238095235,0.48795003647426344,-84,-85,15
ev_5_1_3,12:3f:1b:f3:73:d7,-94.0,0.0,0.0,-94,-94,5
ev_5_1_3,16:11:32:7c:45:c9,-92.5,2.5,1.5811388300841898,-91,-94,10
ev_5_1_3,1c:28:af:ae:f9:62,-78.75,2.828947368421029,1.681947492765761,-76,-80,20
ev_5_1_3,22:3f:0b:59:2d:a4,-78.5,0.2777777777777761,0.5270462766947284,-78,-79,10
ev_5_1_3,22:3f:0b:59:2e:60,-66.66666666666667,5.057471264367806,2.248882225544016,-62,-69,30
ev_5_1_3,22:3f:0b:59:2e:74,-63.2,2.6666666666666567,1.632993161855449,-61,-65,25
ev_5_1_3,22:3f:0b:e2:63:60,-54.0,5.862068965517266,2.4211709905575165,-52,-59,30
ev_5_1_3,22:3f:0b:e2:63:fb,-56.333333333333336,0.5747126436781614,0.7580980435789038,-55,-57,30
ev_5_1_3,22:3f:0b:e2:65:79,-76.0,5.263157894736838,2.2941573387056167,-73,-79,20
ev_5_1_3,22:3f:0b:e2:65:b0,-65.5,1.9827586206896377,1.4081046199376088,-64,-68,30
ev_5_1_3,22:3f:0b:e2:66:86,-78.0,0.0,0.0,-78,-78,5
ev_5_1_3,22:3f:0b:e2:67:10,-76.0,1.1111111111111143,1.0540925533894612,-75,-77,10
ev_5_1_3,22:3f:1b:59:2e:74,-74.5,0.94827586206896,0.9737945687201999,-73,-76,30
ev_5_1_3,22:3f:1b:e2:63:60,-56.0,4.482758620689665,2.117252611449485,-54,-59,30
