SSID,MAC,RSSI,Time,Location
,12:3f:0b:e2:65:b0,-75,2025-05-01 16:18:08,hall_5143_
DGU-WIFI,26:3f:1b:e2:66:20,-70,2025-05-01 16:18:08,hall_5143_
6122,70:5d:cc:a3:b1:fa,-72,2025-05-01 16:18:08,hall_5143_
6105_5G,58:86:94:a1:69:8e,-90,2025-05-01 16:18:08,hall_5143_
,12:3f:0b:e2:65:b6,-47,2025-05-01 16:18:08,hall_5143_
DGU-dorm,34:fc:b9:c8:c5:03,-86,2025-05-01 16:18:08,hall_5143_
hri5125,58:86:94:7e:cb:00,-65,2025-05-01 16:18:08,hall_5143_
6202,34:fc:b9:c8:c5:01,-85,2025-05-01 16:18:08,hall_5143_
DGU-IoT,22:3f:0b:e2:66:20,-76,2025-05-01 16:18:08,hall_5143_
eduroam,36:3f:1b:e2:65:9a,-71,2025-05-01 16:18:08,hall_5143_
eduroam,36:3f:0b:e2:65:9a,-60,2025-05-01 16:18:08,hall_5143_
plrwap,78:db:2f:0f:ef:8a,-71,2025-05-01 16:18:08,hall_5143_
,2c:3f:0b:e2:65:b6,-45,2025-05-01 16:18:08,hall_5143_
,12:3f:1b:e2:65:9a,-70,2025-05-01 16:18:08,hall_5143_
kwon5G,5a:86:94:46:3d:88,-90,2025-05-01 16:18:08,hall_5143_
,2c:3f:0b:e2:65:b0,-75,2025-05-01 16:18:08,hall_5143_
DGU8124,72:5d:cc:4d:72:0c,-74,2025-05-01 16:18:08,hall_5143_
DIRECT-3F-SA SL-J3560FW,f4:39:09:65:bb:40,-76,2025-05-01 16:18:08,hall_5143_
DGU-IoT,22:3f:1b:e2:65:b0,-82,2025-05-01 16:18:08,hall_5143_
mstwifi5G,58:86:94:99:68:8c,-89,2025-05-01 16:18:08,hall_5143_
HRILAB,58:86:94:16:4a:a8,-75,2025-05-01 16:18:08,hall_5143_
DGU-WIFI,ee:55:a8:6e:53:4a,-78,2025-05-01 16:18:08,hall_5143_
DGU-IoT,22:3f:1b:e2:65:b6,-52,2025-05-01 16:18:08,hall_5143_
,12:3f:0b:e2:65:9a,-62,2025-05-01 16:18:08,hall_5143_
DGU-IoT,22:3f:1b:e2:66:20,-70,2025-05-01 16:18:08,hall_5143_
6206,34:fc:b9:c8:fe:20,-79,2025-05-01 16:18:08,hall_5143_
9207,34:fc:b9:c8:d9:a1,-79,2025-05-01 16:18:08,hall_5143_
9206,34:fc:b9:c8:d9:a0,-81,2025-05-01 16:18:08,hall_5143_
T4115-cho,70:5d:cc:34:b1:62,-82,2025-05-01 16:18:08,hall_5143_
ncsa,90:9f:33:90:6f:a6,-77,2025-05-01 16:18:08,hall_5143_
DGU-GUEST,2a:3f:1b:e2:65:b0,-82,2025-05-01 16:18:08,hall_5143_
DGU-GUEST,2a:3f:1b:e2:65:b6,-50,2025-05-01 16:18:08,hall_5143_
DGU-WIFI,26:3f:0b:e2:66:20,-75,2025-05-01 16:18:08,hall_5143_
DGU-IoT,22:3f:0b:e2:66:0b,-76,2025-05-01 16:18:08,hall_5143_
,da:55:b8:6e:53:4a,-92,2025-05-01 16:18:08,hall_5143_
DGU-IoT,ea:55:a8:6e:53:4a,-78,2025-05-01 16:18:08,hall_5143_
DGU-WIFI,26:3f:1b:e2:65:b6,-52,2025-05-01 16:18:08,hall_5143_
eduroam,36:3f:0b:e2:65:b6,-45,2025-05-01 16:18:08,hall_5143_
7205,34:fc:b9:c8:fe:d1,-93,2025-05-01 16:18:08,hall_5143_
DGU-dorm,34:fc:b9:c8:fe:d2,-94,2025-05-01 16:18:08,hall_5143_
7204,34:fc:b9:c8:fe:d0,-95,2025-05-01 16:18:08,hall_5143_
eduroam,36:3f:0b:e2:65:b0,-75,2025-05-01 16:18:08,hall_5143_
DGU-WIFI,26:3f:1b:e2:65:b0,-82,2025-05-01 16:18:08,hall_5143_
DGU-IoT,ea:55:a8:6e:54:1e,-76,2025-05-01 16:18:08,hall_5143_
plrwap,78:db:2f:10:05:e5,-69,2025-05-01 16:18:08,hall_5143_
eduroam,fe:55:a8:6e:51:f5,-76,2025-05-01 16:18:08,hall_5143_
KT_GiGA_EFAC,50:46:ae:e4:ef:b0,-73,2025-05-01 16:18:08,hall_5143_
DGU-GUEST,2a:3f:0b:e2:65:b6,-45,2025-05-01 16:18:08,hall_5143_
,12:3f:0b:e2:66:0b,-75,2025-05-01 16:18:08,hall_5143_
DGU-GUEST,2a:3f:0b:e2:65:b0,-75,2025-05-01 16:18:08,hall_5143_
eduroam,36:3f:0b:e2:66:20,-76,2025-05-01 16:18:08,hall_5143_
6130,72:5d:cc:c3:6b:0c,-69,2025-05-01 16:18:08,hall_5143_
6141,70:5d:cc:a3:b4:aa,-46,2025-05-01 16:18:08,hall_5143_
DGU-WIFI,26:3f:0b:e2:65:b0,-75,2025-05-01 16:18:08,hall_5143_
7132,58:86:94:84:20:d2,-75,2025-05-01 16:18:08,hall_5143_
plrwap,78:db:2f:0f:eb:aa,-55,2025-05-01 16:18:08,hall_5143_
DGU-WIFI,26:3f:0b:e2:65:b6,-45,2025-05-01 16:18:08,hall_5143_
,da:55:a8:6e:63:8f,-75,2025-05-01 16:18:08,hall_5143_
JUN_WIFI,60:83:e7:d3:b1:03,-96,2025-05-01 16:18:08,hall_5143_
DGU-WIFI,26:3f:1b:e2:65:9a,-71,2025-05-01 16:18:08,hall_5143_
DGU-GUEST,2a:3f:1b:e2:65:9a,-71,2025-05-01 16:18:08,hall_5143_
DGU-IoT,22:3f:0b:e2:65:9a,-60,2025-05-01 16:18:08,hall_5143_
DGU-GUEST,e2:55:a8:6e:63:8f,-76,2025-05-01 16:18:08,hall_5143_
CILab_5G,88:36:6c:ad:f1:80,-80,2025-05-01 16:18:08,hall_5143_
,2e:3f:1b:e2:65:b0,-82,2025-05-01 16:18:08,hall_5143_
CSE-3183,7a:de:4b:62:c7:eb,-96,2025-05-01 16:18:08,hall_5143_
eduroam,36:3f:1b:e2:66:20,-70,2025-05-01 16:18:08,hall_5143_
DGU-GUEST,e2:55:a8:6e:54:1e,-76,2025-05-01 16:18:08,hall_5143_
CILab_2G,8a:36:6c:cd:f1:80,-68,2025-05-01 16:18:08,hall_5143_
,2e:3f:1b:e2:65:b6,-52,2025-05-01 16:18:08,hall_5143_
ktw,58:86:94:7e:ea:78,-64,2025-05-01 16:18:08,hall_5143_
DGU-GUEST,2a:3f:0b:e2:65:9a,-60,2025-05-01 16:18:08,hall_5143_
eduroam,36:3f:1b:e2:65:b0,-82,2025-05-01 16:18:08,hall_5143_
eduroam,36:3f:1b:e2:65:b6,-52,2025-05-01 16:18:08,hall_5143_
8208,34:fc:b9:c9:02:a2,-79,2025-05-01 16:18:08,hall_5143_
DGU-WIFI,26:3f:0b:e2:65:9a,-60,2025-05-01 16:18:08,hall_5143_
DGU-dorm,34:fc:b9:c9:02:a3,-80,2025-05-01 16:18:08,hall_5143_
6130_5G-2,70:5d:cc:83:6b:0e,-91,2025-05-01 16:18:08,hall_5143_
6130_5G-1,70:5d:cc:83:6b:0c,-87,2025-05-01 16:18:08,hall_5143_
8206,34:fc:b9:c9:02:a0,-80,2025-05-01 16:18:08,hall_5143_
8207,34:fc:b9:c9:02:a1,-79,2025-05-01 16:18:08,hall_5143_
EDLAB_2G,88:36:6c:b1:2c:38,-76,2025-05-01 16:18:08,hall_5143_
TP-Link_6158,28:ee:52:de:61:57,-86,2025-05-01 16:18:08,hall_5143_
DGU-IoT,22:3f:0b:e2:65:b6,-45,2025-05-01 16:18:08,hall_5143_
,da:55:a8:6e:51:f5,-73,2025-05-01 16:18:08,hall_5143_
eduroam,fe:55:a8:6e:53:4a,-78,2025-05-01 16:18:08,hall_5143_
,12:3f:1b:e2:65:b6,-52,2025-05-01 16:18:08,hall_5143_
6134,58:86:94:a1:6e:5c,-70,2025-05-01 16:18:08,hall_5143_
61345G,58:86:94:a1:6e:5e,-75,2025-05-01 16:18:08,hall_5143_
,2c:3f:0b:e2:65:9a,-60,2025-05-01 16:18:08,hall_5143_
DGU-IoT,22:3f:0b:e2:65:b0,-75,2025-05-01 16:18:08,hall_5143_
,da:55:a8:6e:54:2a,-76,2025-05-01 16:18:08,hall_5143_
eduroam,fe:55:a8:6e:54:1e,-76,2025-05-01 16:18:08,hall_5143_
,12:3f:1b:e2:65:b0,-82,2025-05-01 16:18:08,hall_5143_
eduroam,fe:55:a8:6e:63:8f,-76,2025-05-01 16:18:08,hall_5143_
DGU-GUEST,2a:3f:1b:e2:66:20,-70,2025-05-01 16:18:08,hall_5143_
DGU-IoT,22:3f:1b:e2:65:9a,-71,2025-05-01 16:18:08,hall_5143_
,12:3f:0b:e2:66:20,-76,2025-05-01 16:18:08,hall_5143_
eduroam,36:3f:0b:e2:66:0b,-76,2025-05-01 16:18:08,hall_5143_
IMDL2.4GHz,58:86:94:c9:8c:fa,-82,2025-05-01 16:18:08,hall_5143_
,12:3f:0b:e2:65:b0,-73,2025-05-01 16:18:48,hall_5143_
DGU-WIFI,ee:55:a8:6e:61:a9,-65,2025-05-01 16:18:48,hall_5143_
DGU-WIFI,26:3f:1b:e2:66:20,-80,2025-05-01 16:18:48,hall_5143_
DGU-GUEST,2a:3f:0b:e2:66:20,-73,2025-05-01 16:18:48,hall_5143_
,16:11:32:ce:8f:0f,-75,2025-05-01 16:18:48,hall_5143_
DGU-IoT,22:3f:0b:e2:66:20,-73,2025-05-01 16:18:48,hall_5143_
