SSID,MAC,RSSI,Time,Location
SVM5132_2.4GHz,72:5d:cc:4d:b2:a8,-82,2025-04-15 17:47:24,room_6141_2_1
,12:3f:0b:e2:65:b0,-65,2025-04-15 17:47:24,room_6141_2_1
DGU-WIFI,26:3f:1b:e2:66:20,-76,2025-04-15 17:47:24,room_6141_2_1
6105,58:86:94:a1:69:8c,-79,2025-04-15 17:47:24,room_6141_2_1
6122,70:5d:cc:a3:b1:fa,-72,2025-04-15 17:47:24,room_6141_2_1
DGU-GUEST,2a:3f:0b:e2:66:20,-72,2025-04-15 17:47:24,room_6141_2_1
DGU-IoT,22:3f:0b:e2:66:20,-71,2025-04-15 17:47:24,room_6141_2_1
eduroam,36:3f:1b:e2:65:9a,-59,2025-04-15 17:47:24,room_6141_2_1
eduroam,36:3f:0b:e2:65:9a,-54,2025-04-15 17:47:24,room_6141_2_1
plrwap,78:db:2f:0f:ef:8a,-73,2025-04-15 17:47:24,room_6141_2_1
,2e:3f:1b:e2:66:20,-76,2025-04-15 17:47:24,room_6141_2_1
,12:3f:1b:e2:65:9a,-59,2025-04-15 17:47:24,room_6141_2_1
,2c:3f:0b:e2:65:b0,-69,2025-04-15 17:47:24,room_6141_2_1
DIRECT-3F-SA SL-J3560FW,f4:39:09:65:bb:40,-80,2025-04-15 17:47:24,room_6141_2_1
plrwap,78:db:2f:0f:f5:47,-72,2025-04-15 17:47:24,room_6141_2_1
,12:3f:0b:e2:65:73,-77,2025-04-15 17:47:24,room_6141_2_1
DGU-IoT,22:3f:1b:e2:65:b0,-76,2025-04-15 17:47:24,room_6141_2_1
DGU-WIFI,ee:55:a8:6e:54:1e,-83,2025-04-15 17:47:24,room_6141_2_1
DGU-IoT,22:3f:1b:e2:65:b6,-59,2025-04-15 17:47:24,room_6141_2_1
KT_GiGA_9685,60:29:d5:67:96:89,-74,2025-04-15 17:47:24,room_6141_2_1
eduroam,fe:55:a8:6e:63:55,-77,2025-04-15 17:47:24,room_6141_2_1
,e4:55:a8:6e:53:4a,-83,2025-04-15 17:47:24,room_6141_2_1
,12:3f:0b:e2:65:9a,-53,2025-04-15 17:47:24,room_6141_2_1
DGU-IoT,22:3f:1b:e2:66:20,-75,2025-04-15 17:47:24,room_6141_2_1
NEL,00:11:32:ce:8f:0f,-79,2025-04-15 17:47:24,room_6141_2_1
iptime,70:5d:cc:ae:04:48,-78,2025-04-15 17:47:24,room_6141_2_1
,e4:55:a8:6e:54:1e,-83,2025-04-15 17:47:24,room_6141_2_1
9207,34:fc:b9:c8:d9:a1,-81,2025-04-15 17:47:24,room_6141_2_1
9206,34:fc:b9:c8:d9:a0,-85,2025-04-15 17:47:24,room_6141_2_1
,2e:3f:1b:e2:65:9a,-59,2025-04-15 17:47:24,room_6141_2_1
DGU-dorm,34:fc:b9:c8:d9:a3,-85,2025-04-15 17:47:24,room_6141_2_1
ncsa,90:9f:33:90:6f:a6,-74,2025-04-15 17:47:24,room_6141_2_1
9208,34:fc:b9:c8:d9:a2,-83,2025-04-15 17:47:24,room_6141_2_1
DGU-GUEST,2a:3f:1b:e2:65:b0,-76,2025-04-15 17:47:24,room_6141_2_1
DGU-GUEST,2a:3f:1b:e2:65:b6,-59,2025-04-15 17:47:24,room_6141_2_1
DGU-WIFI,26:3f:0b:e2:66:20,-71,2025-04-15 17:47:24,room_6141_2_1
DGU-IoT,ea:55:a8:6e:53:4a,-83,2025-04-15 17:47:24,room_6141_2_1
DGU-WIFI,26:3f:1b:e2:65:b6,-59,2025-04-15 17:47:24,room_6141_2_1
eduroam,36:3f:0b:e2:65:b6,-47,2025-04-15 17:47:24,room_6141_2_1
CSE-3182_2.4G,28:ee:52:de:60:eb,-80,2025-04-15 17:47:24,room_6141_2_1
eduroam,36:3f:0b:e2:65:b0,-69,2025-04-15 17:47:24,room_6141_2_1
DGU-WIFI,26:3f:0b:e2:66:1f,-78,2025-04-15 17:47:24,room_6141_2_1
DGU-WIFI,26:3f:1b:e2:65:b0,-76,2025-04-15 17:47:24,room_6141_2_1
plrwap,78:db:2f:10:05:e5,-62,2025-04-15 17:47:24,room_6141_2_1
DGU-GUEST,2a:3f:0b:e2:65:b6,-47,2025-04-15 17:47:24,room_6141_2_1
DGU-GUEST,2a:3f:0b:e2:65:b0,-69,2025-04-15 17:47:24,room_6141_2_1
eduroam,36:3f:0b:e2:66:20,-71,2025-04-15 17:47:24,room_6141_2_1
6141,70:5d:cc:a3:b4:aa,-56,2025-04-15 17:47:24,room_6141_2_1
DGU-WIFI,26:3f:0b:e2:65:b0,-69,2025-04-15 17:47:24,room_6141_2_1
plrwap,78:db:2f:0f:eb:aa,-55,2025-04-15 17:47:24,room_6141_2_1
DGU-WIFI,26:3f:0b:e2:65:b6,-47,2025-04-15 17:47:24,room_6141_2_1
,12:3f:1b:e2:66:20,-75,2025-04-15 17:47:24,room_6141_2_1
,2c:3f:0b:e2:66:0b,-81,2025-04-15 17:47:24,room_6141_2_1
DGU-WIFI,26:3f:1b:e2:65:9a,-59,2025-04-15 17:47:24,room_6141_2_1
DGU-GUEST,2a:3f:1b:e2:65:9a,-59,2025-04-15 17:47:24,room_6141_2_1
DGU-IoT,22:3f:0b:e2:65:9a,-54,2025-04-15 17:47:24,room_6141_2_1
CILab_5G,88:36:6c:ad:f1:80,-80,2025-04-15 17:47:24,room_6141_2_1
,2e:3f:1b:e2:65:b0,-76,2025-04-15 17:47:24,room_6141_2_1
eduroam,36:3f:1b:e2:66:20,-75,2025-04-15 17:47:24,room_6141_2_1
DGU-GUEST,e2:55:a8:6e:54:1e,-82,2025-04-15 17:47:24,room_6141_2_1
DGU-GUEST,e2:55:a8:6e:53:4a,-83,2025-04-15 17:47:24,room_6141_2_1
,2e:3f:1b:e2:65:b6,-59,2025-04-15 17:47:24,room_6141_2_1
,2c:3f:0b:e2:66:20,-71,2025-04-15 17:47:24,room_6141_2_1
ktw,58:86:94:7e:ea:78,-64,2025-04-15 17:47:24,room_6141_2_1
DGU-WIFI,ee:55:a8:6e:63:55,-77,2025-04-15 17:47:24,room_6141_2_1
DGU-GUEST,2a:3f:0b:e2:65:9a,-54,2025-04-15 17:47:24,room_6141_2_1
eduroam,36:3f:1b:e2:65:b0,-76,2025-04-15 17:47:24,room_6141_2_1
eduroam,36:3f:1b:e2:65:b6,-59,2025-04-15 17:47:24,room_6141_2_1
DGU-WIFI,26:3f:0b:e2:65:9a,-54,2025-04-15 17:47:24,room_6141_2_1
6130_5G-2,70:5d:cc:83:6b:0e,-88,2025-04-15 17:47:24,room_6141_2_1
DGU-IoT,22:3f:0b:e2:65:b6,-47,2025-04-15 17:47:24,room_6141_2_1
,da:55:a8:6e:51:f5,-81,2025-04-15 17:47:24,room_6141_2_1
,12:3f:1b:e2:65:b6,-59,2025-04-15 17:47:24,room_6141_2_1
6134,58:86:94:a1:6e:5c,-65,2025-04-15 17:47:24,room_6141_2_1
61345G,58:86:94:a1:6e:5e,-74,2025-04-15 17:47:24,room_6141_2_1
,2c:3f:0b:e2:65:9a,-54,2025-04-15 17:47:24,room_6141_2_1
DGU-IoT,22:3f:0b:e2:65:b0,-69,2025-04-15 17:47:24,room_6141_2_1
,12:3f:1b:e2:65:b0,-76,2025-04-15 17:47:24,room_6141_2_1
DGU-GUEST,2a:3f:1b:e2:66:20,-75,2025-04-15 17:47:24,room_6141_2_1
iptime,70:5d:cc:60:cd:b0,-78,2025-04-15 17:47:24,room_6141_2_1
DGU-IoT,22:3f:1b:e2:65:9a,-59,2025-04-15 17:47:24,room_6141_2_1
,12:3f:0b:e2:66:20,-73,2025-04-15 17:47:24,room_6141_2_1
DGU-IoT,ea:55:a8:6e:63:55,-77,2025-04-15 17:47:24,room_6141_2_1
DGU-IoT,22:3f:0b:e2:66:1f,-77,2025-04-15 17:47:29,room_6141_2_1
,12:3f:1b:e2:65:c4,-94,2025-04-15 17:47:29,room_6141_2_1
DGU-WIFI,26:3f:1b:e2:66:20,-75,2025-04-15 17:47:29,room_6141_2_1
6122,70:5d:cc:a3:b1:fa,-74,2025-04-15 17:47:29,room_6141_2_1
DGU-GUEST,2a:3f:0b:e2:66:0b,-78,2025-04-15 17:47:29,room_6141_2_1
,12:3f:0b:e2:65:b6,-44,2025-04-15 17:47:29,room_6141_2_1
hri5125,58:86:94:7e:cb:00,-71,2025-04-15 17:47:29,room_6141_2_1
DGU-GUEST,2a:3f:0b:e2:66:20,-69,2025-04-15 17:47:29,room_6141_2_1
DGU-WIFI,26:3f:0b:e2:66:0b,-79,2025-04-15 17:47:29,room_6141_2_1
DGU-IoT,ea:55:a8:6e:54:2a,-79,2025-04-15 17:47:29,room_6141_2_1
DGU-IoT,22:3f:0b:e2:66:20,-69,2025-04-15 17:47:29,room_6141_2_1
eduroam,36:3f:1b:e2:65:9a,-59,2025-04-15 17:47:29,room_6141_2_1
eduroam,36:3f:0b:e2:65:9a,-52,2025-04-15 17:47:29,room_6141_2_1
plrwap,78:db:2f:0f:ef:8a,-67,2025-04-15 17:47:29,room_6141_2_1
,2c:3f:0b:e2:65:b6,-47,2025-04-15 17:47:29,room_6141_2_1
,2e:3f:1b:e2:66:20,-75,2025-04-15 17:47:29,room_6141_2_1
