SSID,MAC,RSSI,Time,Location
DGU-GUEST,2a:3f:1b:e2:65:c4,-65,2025-05-01 16:26:52,ev_6_1_1
DGU-GUEST,2a:3f:1b:e2:66:1f,-78,2025-05-01 16:26:52,ev_6_1_1
DGU-IoT,22:3f:0b:e2:65:c4,-56,2025-05-01 16:26:52,ev_6_1_1
DGU-WIFI,26:3f:1b:e2:66:61,-74,2025-05-01 16:26:52,ev_6_1_1
DGU-WIFI,26:3f:1b:e2:66:20,-53,2025-05-01 16:26:52,ev_6_1_1
6105,58:86:94:a1:69:8c,-56,2025-05-01 16:26:52,ev_6_1_1
DGU-WIFI,26:3f:1b:e2:65:ea,-74,2025-05-01 16:26:52,ev_6_1_1
eduroam,36:3f:0b:e2:66:20,-54,2025-05-01 16:26:52,ev_6_1_1
6105_5G,58:86:94:a1:69:8e,-63,2025-05-01 16:26:52,ev_6_1_1
eduroam,36:3f:0b:e2:65:ea,-69,2025-05-01 16:26:52,ev_6_1_1
eduroam,36:3f:0b:e2:66:61,-74,2025-05-01 16:26:52,ev_6_1_1
DGU-dorm,34:fc:b9:c8:20:80,-87,2025-05-01 16:26:52,ev_6_1_1
DGU-GUEST,2a:3f:0b:e2:66:61,-74,2025-05-01 16:26:52,ev_6_1_1
AIR_Lab,80:69:1a:1f:f0:50,-75,2025-05-01 16:26:52,ev_6_1_1
DGU-GUEST,2a:3f:0b:e2:66:20,-54,2025-05-01 16:26:52,ev_6_1_1
DGU-WIFI,26:3f:1b:e2:66:1f,-78,2025-05-01 16:26:52,ev_6_1_1
DGU-GUEST,2a:3f:0b:e2:66:60,-65,2025-05-01 16:26:52,ev_6_1_1
6141,70:5d:cc:a3:b4:aa,-71,2025-05-01 16:26:52,ev_6_1_1
DGU-IoT,22:3f:0b:e2:65:ea,-69,2025-05-01 16:26:52,ev_6_1_1
eduroam,36:3f:0b:e2:65:c4,-56,2025-05-01 16:26:52,ev_6_1_1
_LinksysSetup87F-guest,86:69:1a:1f:f0:4f,-73,2025-05-01 16:26:52,ev_6_1_1
DGU-WIFI,26:3f:0b:e2:66:61,-74,2025-05-01 16:26:52,ev_6_1_1
DGU-IoT,22:3f:0b:e2:66:20,-54,2025-05-01 16:26:52,ev_6_1_1
DGU-WIFI,26:3f:0b:e2:66:60,-65,2025-05-01 16:26:52,ev_6_1_1
,12:3f:1b:e2:66:61,-74,2025-05-01 16:26:52,ev_6_1_1
eduroam,36:3f:1b:e2:65:9a,-66,2025-05-01 16:26:52,ev_6_1_1
plrwap,78:db:2f:0f:eb:aa,-76,2025-05-01 16:26:52,ev_6_1_1
,12:3f:1b:e2:66:62,-88,2025-05-01 16:26:52,ev_6_1_1
DGU-WIFI,26:3f:0b:e2:65:b6,-74,2025-05-01 16:26:52,ev_6_1_1
DGU-WIFI,26:3f:1b:e2:65:c4,-65,2025-05-01 16:26:52,ev_6_1_1
DGU-IoT,22:3f:0b:e2:66:60,-65,2025-05-01 16:26:52,ev_6_1_1
eduroam,36:3f:0b:e2:65:9a,-57,2025-05-01 16:26:52,ev_6_1_1
,2e:3f:1b:e2:66:61,-75,2025-05-01 16:26:52,ev_6_1_1
plrwap,78:db:2f:0f:ef:8a,-63,2025-05-01 16:26:52,ev_6_1_1
DGU-WIFI,26:3f:1b:e2:65:9a,-66,2025-05-01 16:26:52,ev_6_1_1
eduroam,36:3f:1b:e2:66:1f,-78,2025-05-01 16:26:52,ev_6_1_1
,12:3f:1b:e2:65:9a,-66,2025-05-01 16:26:52,ev_6_1_1
DGU-GUEST,2a:3f:1b:e2:65:9a,-66,2025-05-01 16:26:52,ev_6_1_1
eduroam,36:3f:1b:e2:65:c4,-65,2025-05-01 16:26:52,ev_6_1_1
CILab_5G,88:36:6c:ad:f1:80,-61,2025-05-01 16:26:52,ev_6_1_1
eduroam,36:3f:1b:e2:65:ea,-75,2025-05-01 16:26:52,ev_6_1_1
eduroam,36:3f:1b:e2:66:61,-74,2025-05-01 16:26:52,ev_6_1_1
eduroam,36:3f:1b:e2:66:20,-53,2025-05-01 16:26:52,ev_6_1_1
plrwap,78:db:2f:0f:f5:47,-76,2025-05-01 16:26:52,ev_6_1_1
AIR_Lab,80:69:1a:1f:f0:4f,-73,2025-05-01 16:26:52,ev_6_1_1
DGU-IoT,22:3f:1b:e2:65:b0,-58,2025-05-01 16:26:52,ev_6_1_1
CILab_2G,8a:36:6c:cd:f1:80,-64,2025-05-01 16:26:52,ev_6_1_1
