SSID,MAC,RSSI,Time,Location
KT_GiGA_5G_9685,60:29:d5:67:96:88,-85,2025-05-01 17:16:51,stair_5_r_3
eduroam,36:3f:1b:e2:65:b6,-74,2025-05-01 17:16:51,stair_5_r_3
DGU-GUEST,2a:3f:0b:e2:65:b6,-70,2025-05-01 17:16:51,stair_5_r_3
solfamily_sin_5F,68:27:19:3d:b8:2d,-70,2025-05-01 17:16:51,stair_5_r_3
6239,34:fc:b9:c8:fb:f2,-84,2025-05-01 17:16:51,stair_5_r_3
DGU-dorm,34:fc:b9:c8:fb:f3,-85,2025-05-01 17:16:51,stair_5_r_3
,9a:83:e7:d3:b1:09,-72,2025-05-01 17:16:51,stair_5_r_3
7237,34:fc:b9:c8:e1:50,-86,2025-05-01 17:16:51,stair_5_r_3
ncsa,90:9f:33:90:6f:a6,-82,2025-05-01 17:16:51,stair_5_r_3
6237,34:fc:b9:c8:fb:f0,-84,2025-05-01 17:16:51,stair_5_r_3
6238,34:fc:b9:c8:fb:f1,-85,2025-05-01 17:16:51,stair_5_r_3
4330,34:fc:b9:c8:f0:82,-73,2025-05-01 17:16:51,stair_5_r_3
5328,34:fc:b9:c8:da:f0,-80,2025-05-01 17:16:51,stair_5_r_3
5329,34:fc:b9:c8:da:f1,-79,2025-05-01 17:16:51,stair_5_r_3
5330,34:fc:b9:c8:da:f2,-80,2025-05-01 17:16:51,stair_5_r_3
DGU-dorm,34:fc:b9:c8:da:f3,-80,2025-05-01 17:16:51,stair_5_r_3
4328,34:fc:b9:c8:f0:80,-71,2025-05-01 17:16:51,stair_5_r_3
DGU-IoT,22:3f:0b:e2:65:b6,-68,2025-05-01 17:16:51,stair_5_r_3
DGU-GUEST,2a:3f:1b:e2:65:b6,-74,2025-05-01 17:16:51,stair_5_r_3
KT_GiGA_5G_EFAC,50:46:ae:e4:ef:af,-77,2025-05-01 17:16:51,stair_5_r_3
DGU-WIFI,26:3f:1b:e2:65:b6,-75,2025-05-01 17:16:51,stair_5_r_3
7237,34:fc:b9:c8:e1:40,-77,2025-05-01 17:16:51,stair_5_r_3
ChemBt,70:5d:cc:80:2e:7c,-79,2025-05-01 17:16:51,stair_5_r_3
7238,34:fc:b9:c8:e1:41,-79,2025-05-01 17:16:51,stair_5_r_3
DIRECT-3F-SA SL-J3560FW,f4:39:09:65:bb:40,-57,2025-05-01 17:16:51,stair_5_r_3
7239,34:fc:b9:c8:e1:42,-78,2025-05-01 17:16:51,stair_5_r_3
5328,34:fc:b9:c8:da:e0,-71,2025-05-01 17:16:51,stair_5_r_3
5329,34:fc:b9:c8:da:e1,-74,2025-05-01 17:16:51,stair_5_r_3
5330,34:fc:b9:c8:da:e2,-73,2025-05-01 17:16:51,stair_5_r_3
JUN_WIFI,60:83:e7:d3:b1:07,-71,2025-05-01 17:16:51,stair_5_r_3
DGU-dorm,34:fc:b9:c8:da:e3,-74,2025-05-01 17:16:51,stair_5_r_3
DGU-IoT,22:3f:1b:e2:65:b6,-75,2025-05-01 17:16:51,stair_5_r_3
plrwap,78:db:2f:10:05:e5,-71,2025-05-01 17:16:51,stair_5_r_3
KT_GiGA_9685,60:29:d5:67:96:89,-62,2025-05-01 17:16:55,stair_5_r_3
KT_GiGA_5G_9685,60:29:d5:67:96:88,-89,2025-05-01 17:16:55,stair_5_r_3
KT_GiGA_EFAC,50:46:ae:e4:ef:b0,-55,2025-05-01 17:16:55,stair_5_r_3
