SSID,MAC,RSSI,Time,Location
DGU-GUEST,2a:3f:1b:e2:66:1f,-77,2025-05-01 16:26:47,ev_6_3_1
6105,58:86:94:a1:69:8c,-48,2025-05-01 16:26:47,ev_6_3_1
DGU-WIFI,26:3f:1b:e2:66:20,-51,2025-05-01 16:26:47,ev_6_3_1
DGU-WIFI,26:3f:1b:e2:65:ea,-64,2025-05-01 16:26:47,ev_6_3_1
6105_5G,58:86:94:a1:69:8e,-65,2025-05-01 16:26:47,ev_6_3_1
,12:3f:0b:e2:65:b6,-69,2025-05-01 16:26:47,ev_6_3_1
DGU-GUEST,2a:3f:0b:e2:66:20,-43,2025-05-01 16:26:47,ev_6_3_1
DGU-GUEST,2a:3f:0b:e2:65:ea,-65,2025-05-01 16:26:47,ev_6_3_1
DGU-WIFI,26:3f:1b:e2:66:1f,-76,2025-05-01 16:26:47,ev_6_3_1
DGU-IoT,22:3f:0b:e2:65:ea,-65,2025-05-01 16:26:47,ev_6_3_1
eduroam,36:3f:0b:e2:65:c4,-44,2025-05-01 16:26:47,ev_6_3_1
DataLab,74:83:c2:18:4f:df,-84,2025-05-01 16:26:47,ev_6_3_1
DGU-IoT,22:3f:0b:e2:66:20,-42,2025-05-01 16:26:47,ev_6_3_1
,12:3f:1b:e2:66:61,-68,2025-05-01 16:26:47,ev_6_3_1
eduroam,36:3f:1b:e2:65:9a,-62,2025-05-01 16:26:47,ev_6_3_1
,12:3f:1b:e2:66:62,-79,2025-05-01 16:26:47,ev_6_3_1
eduroam,36:3f:0b:e2:65:9a,-65,2025-05-01 16:26:47,ev_6_3_1
plrwap,78:db:2f:0f:ef:8a,-66,2025-05-01 16:26:47,ev_6_3_1
,12:3f:1b:e2:65:9a,-62,2025-05-01 16:26:47,ev_6_3_1
eduroam,36:3f:1b:e2:65:c4,-58,2025-05-01 16:26:47,ev_6_3_1
iptime-YEC,88:36:6c:41:85:d8,-80,2025-05-01 16:26:47,ev_6_3_1
eduroam,36:3f:1b:e2:66:61,-68,2025-05-01 16:26:47,ev_6_3_1
eduroam,36:3f:1b:e2:66:60,-80,2025-05-01 16:26:47,ev_6_3_1
DGU-IoT,22:3f:1b:e2:65:b0,-56,2025-05-01 16:26:47,ev_6_3_1
DGU-IoT,22:3f:1b:e2:65:b6,-71,2025-05-01 16:26:47,ev_6_3_1
DGU-IoT,22:3f:1b:e2:66:20,-52,2025-05-01 16:26:47,ev_6_3_1
DGU-IoT,22:3f:1b:e2:65:ea,-64,2025-05-01 16:26:47,ev_6_3_1
plrwap,78:db:2f:0f:ec:6d,-54,2025-05-01 16:26:47,ev_6_3_1
,2e:3f:1b:e2:65:9a,-62,2025-05-01 16:26:47,ev_6_3_1
ncsa,90:9f:33:90:6f:a6,-38,2025-05-01 16:26:47,ev_6_3_1
plrwap,78:db:2f:0f:f0:4f,-69,2025-05-01 16:26:47,ev_6_3_1
DGU-IoT,22:3f:1b:e2:66:1f,-76,2025-05-01 16:26:47,ev_6_3_1
DGU-GUEST,2a:3f:1b:e2:65:b0,-56,2025-05-01 16:26:47,ev_6_3_1
DGU-WIFI,26:3f:0b:e2:65:ea,-65,2025-05-01 16:26:47,ev_6_3_1
DGU-GUEST,2a:3f:1b:e2:65:b6,-72,2025-05-01 16:26:47,ev_6_3_1
DGU-WIFI,26:3f:0b:e2:66:20,-43,2025-05-01 16:26:47,ev_6_3_1
,7e:83:c2:18:4f:df,-84,2025-05-01 16:26:47,ev_6_3_1
eduroam,36:3f:0b:e2:66:60,-69,2025-05-01 16:26:47,ev_6_3_1
DGU-WIFI,26:3f:1b:e2:65:b6,-71,2025-05-01 16:26:47,ev_6_3_1
DGU-WIFI,26:3f:1b:e2:66:60,-80,2025-05-01 16:26:47,ev_6_3_1
eduroam,36:3f:0b:e2:65:b0,-55,2025-05-01 16:26:47,ev_6_3_1
DGU-WIFI,26:3f:1b:e2:65:b0,-56,2025-05-01 16:26:47,ev_6_3_1
DGU-GUEST,2a:3f:1b:e2:66:61,-68,2025-05-01 16:26:47,ev_6_3_1
