SSID,MAC,RSSI,Time,Location
eduroam,36:3f:0b:e2:65:8a,-77,2025-03-27 16:57:26,ㅅㅈ
DGU-WIFI,26:3f:0b:e2:66:14,-62,2025-03-27 16:57:26,ㅅㅈ
DGU-WIFI,26:3f:0b:e2:64:73,-61,2025-03-27 16:57:26,ㅅㅈ
,12:3f:1b:e2:65:c8,-84,2025-03-27 16:57:26,ㅅㅈ
3163_5G,58:86:94:de:1b:78,-65,2025-03-27 16:57:26,ㅅㅈ
,2e:3f:1b:e2:66:14,-73,2025-03-27 16:57:26,ㅅㅈ
plrwap,78:db:2f:0f:f8:7b,-78,2025-03-27 16:57:26,ㅅㅈ
DGU-GUEST,2a:3f:0b:59:2e:20,-64,2025-03-27 16:57:26,ㅅㅈ
DGU-WIFI,26:3f:1b:e2:65:c8,-86,2025-03-27 16:57:26,ㅅㅈ
,2e:3f:1b:e2:66:b0,-76,2025-03-27 16:57:26,ㅅㅈ
DGU-IoT,22:3f:1b:e2:66:b0,-77,2025-03-27 16:57:26,ㅅㅈ
eduroam,36:3f:0b:59:2e:20,-63,2025-03-27 16:57:26,ㅅㅈ
,2e:3f:1b:59:2e:20,-76,2025-03-27 16:57:26,ㅅㅈ
DGU-GUEST,2a:3f:1b:e2:65:c8,-85,2025-03-27 16:57:26,ㅅㅈ
DGU-WIFI,26:3f:1b:59:2e:20,-76,2025-03-27 16:57:26,ㅅㅈ
DGU-IoT,22:3f:1b:e2:64:73,-63,2025-03-27 16:57:26,ㅅㅈ
DGU-GUEST,2a:3f:1b:59:2e:20,-76,2025-03-27 16:57:26,ㅅㅈ
DGU-IoT,22:3f:1b:e2:65:87,-80,2025-03-27 16:57:26,ㅅㅈ
,12:3f:0b:e2:66:3f,-78,2025-03-27 16:57:26,ㅅㅈ
DGU-IoT,22:3f:1b:e2:66:14,-73,2025-03-27 16:57:26,ㅅㅈ
eduroam,36:3f:1b:e2:65:c8,-85,2025-03-27 16:57:26,ㅅㅈ
5206,34:fc:b9:c8:df:70,-88,2025-03-27 16:57:26,ㅅㅈ
DGU-WIFI,26:3f:0b:59:2e:20,-63,2025-03-27 16:57:26,ㅅㅈ
