SSID,MAC,RSSI,Time,Location
DGU-WIFI,26:3f:0b:e2:63:fb,-71,2025-03-27 17:09:30,room_5143_4_1
,12:3f:1b:59:2e:74,-89,2025-03-27 17:09:30,room_5143_4_1
SmartClass,2c:3f:0b:f3:73:d7,-69,2025-03-27 17:09:30,room_5143_4_1
,12:3f:0b:e2:63:fb,-72,2025-03-27 17:09:30,room_5143_4_1
SVM5132,70:5d:cc:1d:b2:a8,-85,2025-03-27 17:09:30,room_5143_4_1
plrwap,78:db:2f:0f:ee:04,-71,2025-03-27 17:09:30,room_5143_4_1
DGU-IoT,22:3f:1b:e2:63:60,-57,2025-03-27 17:09:30,room_5143_4_1
SmartClass,2e:3f:1b:f3:73:d7,-76,2025-03-27 17:09:30,room_5143_4_1
DGU-IoT,22:3f:1b:e2:63:fb,-76,2025-03-27 17:09:30,room_5143_4_1
Cmon,12:6a:6f:75:ba:14,-71,2025-03-27 17:09:30,room_5143_4_1
SmartClass-IoT,22:3f:1b:f3:73:d7,-76,2025-03-27 17:09:30,room_5143_4_1
HRILAB,58:86:94:16:4a:a8,-69,2025-03-27 17:09:30,room_5143_4_1
DGU-GUEST,2a:3f:0b:e2:63:fb,-73,2025-03-27 17:09:30,room_5143_4_1
iptime5130_5G,58:86:94:ae:06:df,-82,2025-03-27 17:09:30,room_5143_4_1
mstwifi,58:86:94:99:68:8e,-81,2025-03-27 17:09:30,room_5143_4_1
KT_GiGA_9685,60:29:d5:67:96:89,-74,2025-03-27 17:09:30,room_5143_4_1
plrwap,78:db:2f:10:04:65,-60,2025-03-27 17:09:30,room_5143_4_1
DGU-GUEST,b4:5d:50:6a:17:71,-96,2025-03-27 17:09:30,room_5143_4_1
solfamily_sin_5F,68:27:19:3d:b8:2d,-45,2025-03-27 17:09:30,room_5143_4_1
CNWLab,70:5d:cc:39:67:e6,-86,2025-03-27 17:09:30,room_5143_4_1
DGU-WIFI,26:3f:0b:59:2e:74,-78,2025-03-27 17:09:30,room_5143_4_1
eduroam,36:3f:1b:e2:63:60,-57,2025-03-27 17:09:30,room_5143_4_1
DGU-GUEST,2a:3f:1b:e2:63:fb,-76,2025-03-27 17:09:30,room_5143_4_1
,12:3f:1b:e2:65:79,-92,2025-03-27 17:09:30,room_5143_4_1
eduroam,36:3f:1b:e2:63:fb,-76,2025-03-27 17:09:30,room_5143_4_1
EDLAB_2G,88:36:6c:b1:2c:38,-88,2025-03-27 17:09:30,room_5143_4_1
DGU-GUEST,2a:3f:1b:e2:63:60,-57,2025-03-27 17:09:30,room_5143_4_1
plrwap,78:db:2f:0f:f4:4e,-60,2025-03-27 17:09:30,room_5143_4_1
SmartClass-IoT,f6:9e:38:74:f8:92,-65,2025-03-27 17:09:30,room_5143_4_1
,c6:9e:38:74:f8:92,-65,2025-03-27 17:09:30,room_5143_4_1
DGU-WIFI,26:3f:1b:e2:63:60,-57,2025-03-27 17:09:30,room_5143_4_1
DGU-WIFI,26:3f:1b:e2:63:fb,-76,2025-03-27 17:09:30,room_5143_4_1
SmartClass-IoT,22:3f:0b:f3:73:d7,-71,2025-03-27 17:09:30,room_5143_4_1
SmartClass,fa:9e:38:74:f8:92,-65,2025-03-27 17:09:30,room_5143_4_1
plrwap,78:db:2f:0f:ec:59,-68,2025-03-27 17:09:30,room_5143_4_1
DGU-WIFI,26:3f:0b:e2:63:fb,-71,2025-03-27 17:09:31,room_5143_4_1
,12:3f:1b:59:2e:74,-89,2025-03-27 17:09:31,room_5143_4_1
