SSID,MAC,RSSI,Time,Location
DGU-GUEST,2a:3f:1b:59:2e:74,-75,2025-04-10 16:57:06,hall_5105_5_1
DGU-GUEST,2a:3f:0b:59:2e:60,-39,2025-04-10 16:57:06,hall_5105_5_1
DGU-IoT,22:3f:0b:59:2e:74,-66,2025-04-10 16:57:06,hall_5105_5_1
DGU-IoT,22:3f:1b:e2:67:10,-57,2025-04-10 16:57:06,hall_5105_5_1
DGU-IoT,22:3f:1b:e2:65:79,-78,2025-04-10 16:57:06,hall_5105_5_1
DGU-IoT,22:3f:1b:59:2e:7f,-80,2025-04-10 16:57:06,hall_5105_5_1
,2e:3f:1b:59:2e:60,-41,2025-04-10 16:57:06,hall_5105_5_1
DGU-WIFI,26:3f:1b:59:2e:60,-41,2025-04-10 16:57:06,hall_5105_5_1
eduroam,36:3f:1b:59:2d:a4,-59,2025-04-10 16:57:06,hall_5105_5_1
DGU-GUEST,2a:3f:1b:59:2e:60,-46,2025-04-10 16:57:06,hall_5105_5_1
DGU-IoT,22:3f:1b:e2:63:60,-72,2025-04-10 16:57:06,hall_5105_5_1
DGU-IoT,22:3f:1b:e2:63:fb,-61,2025-04-10 16:57:06,hall_5105_5_1
DGU-GUEST,2a:3f:0b:59:2e:74,-66,2025-04-10 16:57:06,hall_5105_5_1
DGU-GUEST,2a:3f:1b:e2:67:10,-69,2025-04-10 16:57:06,hall_5105_5_1
DGU-GUEST,2a:3f:1b:e2:65:79,-77,2025-04-10 16:57:06,hall_5105_5_1
DGU-IoT,22:3f:0b:59:2e:7f,-79,2025-04-10 16:57:06,hall_5105_5_1
DGU-WIFI,26:3f:0b:59:2e:60,-40,2025-04-10 16:57:06,hall_5105_5_1
DGU-IoT,22:3f:1b:59:2e:74,-75,2025-04-10 16:57:06,hall_5105_5_1
,12:3f:0b:e2:65:79,-79,2025-04-10 16:57:06,hall_5105_5_1
iptime5130_5G,58:86:94:ae:06:df,-71,2025-04-10 16:57:06,hall_5105_5_1
DGU-WIFI,26:3f:1b:e2:65:79,-76,2025-04-10 16:57:06,hall_5105_5_1
eduroam,36:3f:0b:59:2d:a4,-61,2025-04-10 16:57:06,hall_5105_5_1
