SSID,MAC,RSSI,Time,Location
SVM5132_2.4GHz,72:5d:cc:4d:b2:a8,-56,2025-04-03 17:52:14,hall_5145_1_1
DGU-GUEST,2a:3f:1b:59:2e:74,-44,2025-04-03 17:52:14,hall_5145_1_1
DGU-GUEST,2a:3f:0b:59:2e:60,-64,2025-04-03 17:52:14,hall_5145_1_1
DGU-IoT,22:3f:0b:59:2e:74,-51,2025-04-03 17:52:14,hall_5145_1_1
,12:3f:0b:e2:65:b0,-57,2025-04-03 17:52:14,hall_5145_1_1
DGU-IoT,22:3f:1b:e2:67:10,-81,2025-04-03 17:52:14,hall_5145_1_1
DIRECT-5A-HP Color LJ 4303,e2:73:e7:80:67:5a,-53,2025-04-03 17:52:14,hall_5145_1_1
DGU-IoT,22:3f:1b:e2:65:79,-61,2025-04-03 17:52:14,hall_5145_1_1
,2c:3f:0b:e2:63:60,-56,2025-04-03 17:52:14,hall_5145_1_1
,2e:3f:1b:59:2e:60,-67,2025-04-03 17:52:14,hall_5145_1_1
,12:3f:0b:e2:63:60,-52,2025-04-03 17:52:14,hall_5145_1_1
DGU-WIFI,26:3f:1b:59:2e:60,-67,2025-04-03 17:52:14,hall_5145_1_1
eduroam,36:3f:1b:59:2d:a4,-74,2025-04-03 17:52:14,hall_5145_1_1
eduroam,36:3f:1b:59:2d:a3,-79,2025-04-03 17:52:14,hall_5145_1_1
DGU-GUEST,2a:3f:1b:59:2e:60,-67,2025-04-03 17:52:14,hall_5145_1_1
DGU-IoT,22:3f:1b:e2:63:60,-56,2025-04-03 17:52:14,hall_5145_1_1
DGU-IoT,22:3f:1b:e2:63:fb,-56,2025-04-03 17:52:14,hall_5145_1_1
kwon5G,5a:86:94:46:3d:88,-83,2025-04-03 17:52:14,hall_5145_1_1
DGU-GUEST,2a:3f:0b:59:2e:74,-51,2025-04-03 17:52:14,hall_5145_1_1
DGU-GUEST,2a:3f:1b:e2:67:10,-81,2025-04-03 17:52:14,hall_5145_1_1
DGU-GUEST,2a:3f:1b:e2:65:79,-61,2025-04-03 17:52:14,hall_5145_1_1
,12:3f:1b:59:2d:a3,-79,2025-04-03 17:52:14,hall_5145_1_1
,12:3f:0b:e2:65:73,-81,2025-04-03 17:52:14,hall_5145_1_1
DGU-IoT,22:3f:1b:59:2e:74,-44,2025-04-03 17:52:14,hall_5145_1_1
DGU-IoT,22:3f:1b:e2:65:b0,-80,2025-04-03 17:52:14,hall_5145_1_1
iptime5130_5G,58:86:94:ae:06:df,-55,2025-04-03 17:52:14,hall_5145_1_1
iptime5130,58:86:94:ae:06:de,-48,2025-04-03 17:52:14,hall_5145_1_1
DGU-WIFI,26:3f:1b:e2:65:79,-61,2025-04-03 17:52:14,hall_5145_1_1
DGU-WIFI,26:3f:1b:59:2d:a4,-74,2025-04-03 17:52:14,hall_5145_1_1
DGU-WIFI,26:3f:1b:59:2d:a3,-78,2025-04-03 17:52:14,hall_5145_1_1
eduroam,36:3f:0b:e2:65:79,-58,2025-04-03 17:52:14,hall_5145_1_1
eduroam,36:3f:1b:59:2e:60,-67,2025-04-03 17:52:14,hall_5145_1_1
,12:3f:1b:59:2d:a4,-74,2025-04-03 17:52:14,hall_5145_1_1
DGU-GUEST,2a:3f:1b:59:2d:a3,-79,2025-04-03 17:52:14,hall_5145_1_1
eduroam,36:3f:0b:e2:67:13,-71,2025-04-03 17:52:14,hall_5145_1_1
DGU-WIFI,26:3f:1b:e2:67:10,-81,2025-04-03 17:52:14,hall_5145_1_1
