SSID,MAC,RSSI,Time,Location
SVM5132_2.4GHz,72:5d:cc:4d:b2:a8,-72,2025-03-27 17:10:37,room_5143_2_1
DGU-WIFI,ee:55:a8:6e:61:a9,-80,2025-03-27 17:10:37,room_5143_2_1
hri5125,58:86:94:7e:cb:00,-68,2025-03-27 17:10:37,room_5143_2_1
,2c:3f:0b:e2:63:60,-50,2025-03-27 17:10:37,room_5143_2_1
,12:3f:0b:e2:63:60,-56,2025-03-27 17:10:37,room_5143_2_1
SmartClass,f8:9e:28:74:f8:92,-56,2025-03-27 17:10:37,room_5143_2_1
DGU-IoT,22:3f:1b:e2:63:60,-58,2025-03-27 17:10:37,room_5143_2_1
SmartClass,2e:3f:1b:f3:73:d7,-78,2025-03-27 17:10:37,room_5143_2_1
DGU-IoT,22:3f:1b:e2:63:fb,-65,2025-03-27 17:10:37,room_5143_2_1
HRILAB,58:86:94:16:4a:a8,-69,2025-03-27 17:10:37,room_5143_2_1
iptime5130_5G,58:86:94:ae:06:df,-88,2025-03-27 17:10:37,room_5143_2_1
,c6:9e:28:74:f8:92,-54,2025-03-27 17:10:37,room_5143_2_1
KT_GiGA_9685,60:29:d5:67:96:89,-84,2025-03-27 17:10:37,room_5143_2_1
plrwap,78:db:2f:10:04:65,-55,2025-03-27 17:10:37,room_5143_2_1
solfamily_sin_5F,68:27:19:3d:b8:2d,-55,2025-03-27 17:10:37,room_5143_2_1
CNWLab_5G,70:5d:cc:39:67:e4,-89,2025-03-27 17:10:37,room_5143_2_1
DGU-GUEST,2a:3f:1b:e2:63:fb,-65,2025-03-27 17:10:37,room_5143_2_1
DGU-GUEST,2a:3f:0b:e2:65:73,-77,2025-03-27 17:10:37,room_5143_2_1
DGU-IoT,ea:55:a8:6e:61:a9,-81,2025-03-27 17:10:37,room_5143_2_1
,12:3f:0b:f3:73:d7,-73,2025-03-27 17:10:37,room_5143_2_1
SmartClass-IoT,f6:9e:28:74:f8:92,-55,2025-03-27 17:10:37,room_5143_2_1
DGU-GUEST,2a:3f:1b:e2:63:60,-58,2025-03-27 17:10:37,room_5143_2_1
eduroam,36:3f:0b:e2:63:fb,-65,2025-03-27 17:10:37,room_5143_2_1
DGU-WIFI,26:3f:1b:e2:63:60,-58,2025-03-27 17:10:37,room_5143_2_1
DGU-WIFI,26:3f:1b:e2:63:fb,-65,2025-03-27 17:10:37,room_5143_2_1
,12:3f:1b:59:2e:60,-91,2025-03-27 17:10:37,room_5143_2_1
eduroam,36:3f:0b:e2:63:60,-50,2025-03-27 17:10:37,room_5143_2_1
5103LAB-5G,88:36:6c:d1:7d:90,-89,2025-03-27 17:10:37,room_5143_2_1
CSE-3182_2.4G,28:ee:52:de:60:eb,-81,2025-03-27 17:10:37,room_5143_2_1
,2c:3f:0b:e2:65:73,-77,2025-03-27 17:10:37,room_5143_2_1
plrwap,78:db:2f:0f:ee:39,-61,2025-03-27 17:10:37,room_5143_2_1
5103LAB-2G,88:36:6c:d1:7d:92,-69,2025-03-27 17:10:37,room_5143_2_1
DGU-WIFI,26:3f:0b:e2:63:fb,-64,2025-03-27 17:10:37,room_5143_2_1
DGU-WIFI,26:3f:0b:e2:63:60,-50,2025-03-27 17:10:37,room_5143_2_1
,b2:ee:52:de:60:ed,-81,2025-03-27 17:10:37,room_5143_2_1
,2e:3f:1b:e2:63:60,-58,2025-03-27 17:10:37,room_5143_2_1
,2e:3f:1b:e2:63:fb,-65,2025-03-27 17:10:37,room_5143_2_1
,da:55:a8:6e:61:a9,-80,2025-03-27 17:10:37,room_5143_2_1
SmartClass,2c:3f:0b:f3:73:d7,-70,2025-03-27 17:10:37,room_5143_2_1
SVM5132,70:5d:cc:1d:b2:a8,-83,2025-03-27 17:10:37,room_5143_2_1
7132,58:86:94:84:20:d2,-83,2025-03-27 17:10:37,room_5143_2_1
plrwap,78:db:2f:0f:ee:04,-69,2025-03-27 17:10:37,room_5143_2_1
Cmon,12:6a:6f:75:ba:14,-75,2025-03-27 17:10:37,room_5143_2_1
DGU-GUEST,2a:3f:0b:e2:63:60,-50,2025-03-27 17:10:37,room_5143_2_1
plrwap,78:db:2f:0f:f5:05,-73,2025-03-27 17:10:37,room_5143_2_1
SmartClass-IoT,22:3f:1b:f3:73:d7,-78,2025-03-27 17:10:37,room_5143_2_1
DGU-GUEST,2a:3f:0b:e2:63:fb,-64,2025-03-27 17:10:37,room_5143_2_1
eduroam,36:3f:1b:e2:63:60,-58,2025-03-27 17:10:37,room_5143_2_1
eduroam,36:3f:1b:e2:63:fb,-65,2025-03-27 17:10:37,room_5143_2_1
eduroam,fe:55:a8:6e:61:a9,-81,2025-03-27 17:10:37,room_5143_2_1
plrwap,78:db:2f:0f:f4:4e,-64,2025-03-27 17:10:37,room_5143_2_1
SmartClass-IoT,f6:9e:38:74:f8:92,-68,2025-03-27 17:10:37,room_5143_2_1
,c6:9e:38:74:f8:92,-68,2025-03-27 17:10:37,room_5143_2_1
,12:3f:0b:59:2e:74,-76,2025-03-27 17:10:37,room_5143_2_1
SmartClass-IoT,22:3f:0b:f3:73:d7,-74,2025-03-27 17:10:37,room_5143_2_1
,12:3f:1b:e2:63:fb,-65,2025-03-27 17:10:37,room_5143_2_1
,12:3f:1b:e2:63:60,-58,2025-03-27 17:10:37,room_5143_2_1
DGU-IoT,22:3f:0b:e2:63:60,-50,2025-03-27 17:10:37,room_5143_2_1
SmartClass,fa:9e:38:74:f8:92,-68,2025-03-27 17:10:37,room_5143_2_1
DGU-IoT,22:3f:0b:e2:63:fb,-65,2025-03-27 17:10:37,room_5143_2_1
plrwap,78:db:2f:0f:ec:59,-69,2025-03-27 17:10:37,room_5143_2_1
6122,70:5d:cc:a3:b1:fa,-69,2025-03-27 17:10:41,room_5143_2_1
,12:3f:0b:e2:65:b6,-84,2025-03-27 17:10:41,room_5143_2_1
,2c:3f:0b:e2:63:60,-52,2025-03-27 17:10:41,room_5143_2_1
,12:3f:0b:e2:63:60,-57,2025-03-27 17:10:41,room_5143_2_1
SmartClass,f8:9e:28:74:f8:92,-61,2025-03-27 17:10:41,room_5143_2_1
DGU-IoT,22:3f:1b:e2:63:60,-59,2025-03-27 17:10:41,room_5143_2_1
SmartClass,2e:3f:1b:f3:73:d7,-77,2025-03-27 17:10:41,room_5143_2_1
DGU-IoT,22:3f:1b:e2:63:fb,-65,2025-03-27 17:10:41,room_5143_2_1
HRILAB,58:86:94:16:4a:a8,-70,2025-03-27 17:10:41,room_5143_2_1
iptime5130_5G,58:86:94:ae:06:df,-87,2025-03-27 17:10:41,room_5143_2_1
iptime5130,58:86:94:ae:06:de,-73,2025-03-27 17:10:41,room_5143_2_1
eduroam,b4:5d:50:6a:1e:70,-93,2025-03-27 17:10:41,room_5143_2_1
,c6:9e:28:74:f8:92,-58,2025-03-27 17:10:41,room_5143_2_1
DGU-WIFI,b4:5d:50:6a:1e:71,-93,2025-03-27 17:10:41,room_5143_2_1
DGU-GUEST,b4:5d:50:6a:1e:72,-93,2025-03-27 17:10:41,room_5143_2_1
plrwap,78:db:2f:10:04:65,-56,2025-03-27 17:10:41,room_5143_2_1
solfamily_sin_5F,68:27:19:3d:b8:2d,-52,2025-03-27 17:10:41,room_5143_2_1
CNWLab_5G,70:5d:cc:39:67:e4,-91,2025-03-27 17:10:41,room_5143_2_1
DGU-GUEST,2a:3f:1b:e2:63:fb,-65,2025-03-27 17:10:41,room_5143_2_1
,12:3f:0b:f3:73:d7,-76,2025-03-27 17:10:41,room_5143_2_1
SmartClass-IoT,f6:9e:28:74:f8:92,-57,2025-03-27 17:10:41,room_5143_2_1
DIRECT-gCM288x Series,32:cd:a7:32:0e:12,-81,2025-03-27 17:10:41,room_5143_2_1
DGU-GUEST,2a:3f:1b:e2:63:60,-59,2025-03-27 17:10:41,room_5143_2_1
DGU-WIFI,26:3f:1b:e2:63:60,-59,2025-03-27 17:10:41,room_5143_2_1
DGU-WIFI,26:3f:1b:e2:63:fb,-65,2025-03-27 17:10:41,room_5143_2_1
,12:3f:1b:59:2e:60,-92,2025-03-27 17:10:41,room_5143_2_1
eduroam,36:3f:0b:e2:63:60,-52,2025-03-27 17:10:41,room_5143_2_1
5103LAB-5G,88:36:6c:d1:7d:90,-89,2025-03-27 17:10:41,room_5143_2_1
plrwap,78:db:2f:0f:ee:39,-67,2025-03-27 17:10:41,room_5143_2_1
DGU-WIFI,26:3f:0b:e2:63:60,-52,2025-03-27 17:10:41,room_5143_2_1
,2e:3f:1b:e2:63:60,-59,2025-03-27 17:10:41,room_5143_2_1
,da:55:a8:6e:61:a9,-79,2025-03-27 17:10:41,room_5143_2_1
SmartClass,2c:3f:0b:f3:73:d7,-72,2025-03-27 17:10:41,room_5143_2_1
SVM5132,70:5d:cc:1d:b2:a8,-82,2025-03-27 17:10:41,room_5143_2_1
