SSID,MAC,RSSI,Time,Location
,12:3f:1b:e2:65:c4,-91,2025-04-24 16:50:43,hall_6141_2_10
DGU-WIFI,26:3f:1b:e2:66:20,-81,2025-04-24 16:50:43,hall_6141_2_10
,12:3f:0b:e2:65:b6,-79,2025-04-24 16:50:43,hall_6141_2_10
eduroam,36:3f:1b:e2:65:9a,-77,2025-04-24 16:50:43,hall_6141_2_10
,2c:3f:0b:e2:65:b6,-66,2025-04-24 16:50:43,hall_6141_2_10
EDLAB,88:36:6c:b1:2c:3a,-92,2025-04-24 16:50:43,hall_6141_2_10
DGU-IoT,22:3f:1b:e2:65:b0,-84,2025-04-24 16:50:43,hall_6141_2_10
DGU-WIFI,ee:55:a8:6e:54:1e,-80,2025-04-24 16:50:43,hall_6141_2_10
iptime5130_5G,58:86:94:ae:06:df,-84,2025-04-24 16:50:43,hall_6141_2_10
DGU-IoT,22:3f:1b:e2:65:b6,-67,2025-04-24 16:50:43,hall_6141_2_10
DGU-IoT,22:3f:1b:e2:66:20,-81,2025-04-24 16:50:43,hall_6141_2_10
iptime,70:5d:cc:ae:04:48,-72,2025-04-24 16:50:43,hall_6141_2_10
ncsa,90:9f:33:90:6f:a6,-61,2025-04-24 16:50:43,hall_6141_2_10
DGU-GUEST,2a:3f:1b:e2:65:b0,-84,2025-04-24 16:50:43,hall_6141_2_10
DGU-GUEST,2a:3f:1b:e2:65:b6,-67,2025-04-24 16:50:43,hall_6141_2_10
,da:55:b8:6e:53:4a,-91,2025-04-24 16:50:43,hall_6141_2_10
DGU-dorm,34:fc:b9:c8:20:90,-89,2025-04-24 16:50:43,hall_6141_2_10
7202,34:fc:b9:c8:20:92,-89,2025-04-24 16:50:43,hall_6141_2_10
7201,34:fc:b9:c8:20:91,-89,2025-04-24 16:50:43,hall_6141_2_10
6239,34:fc:b9:c8:fb:e2,-86,2025-04-24 16:50:43,hall_6141_2_10
7203,34:fc:b9:c8:20:93,-89,2025-04-24 16:50:43,hall_6141_2_10
DGU-dorm,34:fc:b9:c8:fb:e3,-85,2025-04-24 16:50:43,hall_6141_2_10
DGU-WIFI,26:3f:1b:e2:65:b6,-67,2025-04-24 16:50:43,hall_6141_2_10
FF_5G,70:5d:cc:be:5c:48,-96,2025-04-24 16:50:43,hall_6141_2_10
eduroam,36:3f:0b:e2:65:b6,-67,2025-04-24 16:50:43,hall_6141_2_10
7205,34:fc:b9:c8:fe:d1,-92,2025-04-24 16:50:43,hall_6141_2_10
DGU-dorm,34:fc:b9:c8:fe:d2,-91,2025-04-24 16:50:43,hall_6141_2_10
DIRECT-TCC48x Series,86:25:19:a0:cb:e8,-80,2025-04-24 16:50:43,hall_6141_2_10
7204,34:fc:b9:c8:fe:d0,-91,2025-04-24 16:50:43,hall_6141_2_10
CSE-3182_2.4G,28:ee:52:de:60:eb,-84,2025-04-24 16:50:43,hall_6141_2_10
DGU-WIFI,26:3f:1b:e2:65:b0,-84,2025-04-24 16:50:43,hall_6141_2_10
DGU-IoT,ea:55:a8:6e:54:1e,-79,2025-04-24 16:50:43,hall_6141_2_10
kwon,58:86:94:16:3d:88,-65,2025-04-24 16:50:43,hall_6141_2_10
DGU-GUEST,2a:3f:0b:e2:65:b6,-65,2025-04-24 16:50:43,hall_6141_2_10
DGU-WIFI,26:3f:0b:e2:65:b6,-67,2025-04-24 16:50:43,hall_6141_2_10
DGU-WIFI,26:3f:1b:e2:65:9a,-77,2025-04-24 16:50:43,hall_6141_2_10
DGU-GUEST,2a:3f:1b:e2:65:9a,-77,2025-04-24 16:50:43,hall_6141_2_10
CILab_5G,88:36:6c:ad:f1:80,-82,2025-04-24 16:50:43,hall_6141_2_10
5206,34:fc:b9:c8:df:70,-93,2025-04-24 16:50:43,hall_6141_2_10
DGU-dorm,34:fc:b9:c8:df:73,-94,2025-04-24 16:50:43,hall_6141_2_10
5207,34:fc:b9:c8:df:71,-92,2025-04-24 16:50:43,hall_6141_2_10
DGU-GUEST,e2:55:a8:6e:54:1e,-80,2025-04-24 16:50:43,hall_6141_2_10
eduroam,36:3f:1b:e2:66:20,-82,2025-04-24 16:50:43,hall_6141_2_10
5208,34:fc:b9:c8:df:72,-94,2025-04-24 16:50:43,hall_6141_2_10
[LG_AirPurifier]156e,1e:39:29:78:15:6e,-75,2025-04-24 16:50:43,hall_6141_2_10
CILab_2G,8a:36:6c:cd:f1:80,-66,2025-04-24 16:50:43,hall_6141_2_10
Hello,98:de:d0:50:77:1c,-76,2025-04-24 16:50:43,hall_6141_2_10
,2c:3f:0b:e2:65:c4,-81,2025-04-24 16:50:43,hall_6141_2_10
eduroam,36:3f:1b:e2:65:b0,-84,2025-04-24 16:50:43,hall_6141_2_10
eduroam,36:3f:1b:e2:65:b6,-68,2025-04-24 16:50:43,hall_6141_2_10
dgu8124_5G,70:5d:cc:1d:72:0c,-91,2025-04-24 16:50:43,hall_6141_2_10
DGU-IoT,22:3f:0b:e2:65:b6,-66,2025-04-24 16:50:43,hall_6141_2_10
