SSID,MAC,RSSI,Time,Location
SVM5132_2.4GHz,72:5d:cc:4d:b2:a8,-81,2025-04-15 17:46:49,room_6141_3_1
DGU-GUEST,2a:3f:0b:e2:65:b6,-48,2025-04-15 17:46:49,room_6141_3_1
,da:55:a8:6e:61:a9,-78,2025-04-15 17:46:49,room_6141_3_1
eduroam,36:3f:0b:e2:66:20,-67,2025-04-15 17:46:49,room_6141_3_1
,da:55:a8:6e:53:4a,-80,2025-04-15 17:46:49,room_6141_3_1
DGU-dorm,34:fc:b9:c8:c5:03,-87,2025-04-15 17:46:49,room_6141_3_1
,16:11:32:ce:8f:0f,-81,2025-04-15 17:46:49,room_6141_3_1
6141,70:5d:cc:a3:b4:aa,-58,2025-04-15 17:46:49,room_6141_3_1
DGU-IoT,22:3f:0b:e2:66:20,-67,2025-04-15 17:46:49,room_6141_3_1
eduroam,36:3f:1b:e2:65:9a,-58,2025-04-15 17:46:49,room_6141_3_1
DGU-WIFI,26:3f:0b:e2:65:b6,-48,2025-04-15 17:46:49,room_6141_3_1
eduroam,36:3f:0b:e2:65:9a,-59,2025-04-15 17:46:49,room_6141_3_1
DGU-WIFI,26:3f:1b:e2:65:9a,-58,2025-04-15 17:46:49,room_6141_3_1
DGU-GUEST,2a:3f:1b:e2:65:9a,-57,2025-04-15 17:46:49,room_6141_3_1
DGU-IoT,22:3f:0b:e2:65:9a,-59,2025-04-15 17:46:49,room_6141_3_1
CILab_5G,88:36:6c:ad:f1:80,-82,2025-04-15 17:46:49,room_6141_3_1
,2e:3f:1b:e2:65:b0,-85,2025-04-15 17:46:49,room_6141_3_1
E631,88:36:6c:7c:e4:c2,-80,2025-04-15 17:46:49,room_6141_3_1
DGU-IoT,22:3f:1b:e2:65:b0,-85,2025-04-15 17:46:49,room_6141_3_1
ktw,58:86:94:7e:ea:78,-63,2025-04-15 17:46:49,room_6141_3_1
DGU-IoT,22:3f:1b:e2:65:b6,-53,2025-04-15 17:46:49,room_6141_3_1
NEL,00:11:32:ce:8f:0f,-78,2025-04-15 17:46:49,room_6141_3_1
DGU-GUEST,2a:3f:0b:e2:65:9a,-59,2025-04-15 17:46:49,room_6141_3_1
eduroam,36:3f:1b:e2:65:b0,-85,2025-04-15 17:46:49,room_6141_3_1
