SSID,MAC,RSSI,Time,Location
SVM5132_2.4GHz,72:5d:cc:4d:b2:a8,-76,2025-04-24 16:53:03,hall_6141_3_10
DGU-WIFI,ee:55:a8:6e:61:a9,-66,2025-04-24 16:53:03,hall_6141_3_10
DGU-WIFI,26:3f:1b:e2:66:20,-88,2025-04-24 16:53:03,hall_6141_3_10
DGU-dorm,34:fc:b9:c8:20:80,-81,2025-04-24 16:53:03,hall_6141_3_10
hri5125,58:86:94:7e:cb:00,-75,2025-04-24 16:53:03,hall_6141_3_10
DGU-IoT,ea:55:a8:6e:54:2a,-71,2025-04-24 16:53:03,hall_6141_3_10
DGU-dorm,34:fc:b9:c8:f0:43,-87,2025-04-24 16:53:03,hall_6141_3_10
,16:11:32:ce:8f:0f,-79,2025-04-24 16:53:03,hall_6141_3_10
DGU-IoT,ea:55:a8:6e:51:f5,-62,2025-04-24 16:53:03,hall_6141_3_10
eduroam,36:3f:1b:e2:65:9a,-86,2025-04-24 16:53:03,hall_6141_3_10
,da:55:b8:6e:63:02,-92,2025-04-24 16:53:03,hall_6141_3_10
,12:3f:1b:e2:65:9a,-86,2025-04-24 16:53:03,hall_6141_3_10
eduroam,fe:55:a8:6e:63:02,-70,2025-04-24 16:53:03,hall_6141_3_10
DGU8124,72:5d:cc:4d:72:0c,-71,2025-04-24 16:53:03,hall_6141_3_10
plrwap,78:db:2f:0f:f5:47,-88,2025-04-24 16:53:03,hall_6141_3_10
HRILAB,58:86:94:16:4a:a8,-72,2025-04-24 16:53:03,hall_6141_3_10
iptime5130_5G,58:86:94:ae:06:df,-91,2025-04-24 16:53:03,hall_6141_3_10
DGU-WIFI,ee:55:a8:6e:53:4a,-76,2025-04-24 16:53:03,hall_6141_3_10
DGU-IoT,22:3f:1b:e2:65:b6,-70,2025-04-24 16:53:03,hall_6141_3_10
iptime5130,58:86:94:ae:06:de,-70,2025-04-24 16:53:03,hall_6141_3_10
,da:55:a8:6e:63:02,-71,2025-04-24 16:53:03,hall_6141_3_10
,e4:55:a8:6e:53:4a,-77,2025-04-24 16:53:03,hall_6141_3_10
DGU-IoT,22:3f:1b:e2:66:20,-88,2025-04-24 16:53:03,hall_6141_3_10
iptime,70:5d:cc:ae:04:48,-72,2025-04-24 16:53:03,hall_6141_3_10
9207,34:fc:b9:c8:d9:a1,-75,2025-04-24 16:53:03,hall_6141_3_10
bang,00:26:66:fe:8d:74,-85,2025-04-24 16:53:03,hall_6141_3_10
eduroam,fe:55:a8:6e:63:57,-82,2025-04-24 16:53:03,hall_6141_3_10
10130,58:86:94:9d:ca:b8,-82,2025-04-24 16:53:03,hall_6141_3_10
,2e:3f:1b:e2:65:9a,-86,2025-04-24 16:53:03,hall_6141_3_10
DGU-GUEST,2a:3f:0b:e2:65:73,-74,2025-04-24 16:53:03,hall_6141_3_10
DGU-dorm,34:fc:b9:c8:d9:a3,-80,2025-04-24 16:53:03,hall_6141_3_10
ncsa,90:9f:33:90:6f:a6,-73,2025-04-24 16:53:03,hall_6141_3_10
9208,34:fc:b9:c8:d9:a2,-75,2025-04-24 16:53:03,hall_6141_3_10
DGU-WIFI,ee:55:a8:6e:51:f5,-62,2025-04-24 16:53:03,hall_6141_3_10
DGU-WIFI,ee:55:a8:6e:54:2a,-71,2025-04-24 16:53:03,hall_6141_3_10
sylee,72:5d:cc:40:37:6c,-72,2025-04-24 16:53:03,hall_6141_3_10
296SQ,a2:d6:52:e2:af:7a,-82,2025-04-24 16:53:03,hall_6141_3_10
DGU-GUEST,2a:3f:1b:e2:65:b6,-69,2025-04-24 16:53:03,hall_6141_3_10
DGU-IoT,ea:55:a8:6e:53:4a,-77,2025-04-24 16:53:03,hall_6141_3_10
DGU-WIFI,26:3f:1b:e2:65:b6,-70,2025-04-24 16:53:03,hall_6141_3_10
eduroam,36:3f:0b:e2:65:b6,-68,2025-04-24 16:53:03,hall_6141_3_10
eduroam,fe:55:a8:6e:51:f5,-62,2025-04-24 16:53:03,hall_6141_3_10
eduroam,fe:55:a8:6e:54:2a,-71,2025-04-24 16:53:03,hall_6141_3_10
DGU-GUEST,2a:3f:0b:e2:65:b6,-68,2025-04-24 16:53:03,hall_6141_3_10
,da:55:a8:6e:61:a9,-75,2025-04-24 16:53:03,hall_6141_3_10
,da:55:a8:6e:53:4a,-78,2025-04-24 16:53:03,hall_6141_3_10
6130,72:5d:cc:c3:6b:0c,-67,2025-04-24 16:53:03,hall_6141_3_10
DGU-GUEST,e2:55:a8:6e:63:02,-71,2025-04-24 16:53:03,hall_6141_3_10
