                                                                                                         
[Epoch 100] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 101] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 102] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 103] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 104] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 105] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 106] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 107] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 108] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 109] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 110] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 111] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 112] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 113] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 114] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 115] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 116] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 117] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 118] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 119] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 120] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 121] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 122] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 123] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 124] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 125] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 126] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 127] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 128] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 129] Train Acc: 0.68% | Val Acc: 0.34%
[Epoch 130] Train Acc: 0.68% | Val Acc: 0.34%
