                                                                                                         
[Epoch 42] Train Acc: 0.89% | Val Acc: 0.34%
[Epoch 43] Train Acc: 1.07% | Val Acc: 0.34%
[Epoch 44] Train Acc: 1.28% | Val Acc: 0.34%
[Epoch 45] Train Acc: 0.94% | Val Acc: 0.34%
[Epoch 46] Train Acc: 1.28% | Val Acc: 0.34%
[Epoch 47] Train Acc: 1.11% | Val Acc: 0.34%
[Epoch 48] Train Acc: 1.15% | Val Acc: 0.34%
[Epoch 49] Train Acc: 1.02% | Val Acc: 0.34%
[Epoch 50] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 51] Train Acc: 1.19% | Val Acc: 0.34%
[Epoch 52] Train Acc: 0.89% | Val Acc: 0.34%
[Epoch 53] Train Acc: 0.89% | Val Acc: 0.34%
[Epoch 54] Train Acc: 1.07% | Val Acc: 0.34%
[Epoch 55] Train Acc: 0.94% | Val Acc: 0.34%
[Epoch 56] Train Acc: 0.85% | Val Acc: 0.34%
[Epoch 57] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 58] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 59] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 60] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 61] Train Acc: 0.81% | Val Acc: 0.34%
[Epoch 62] Train Acc: 0.81% | Val Acc: 0.34%
[Epoch 63] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 64] Train Acc: 0.89% | Val Acc: 0.34%
[Epoch 65] Train Acc: 0.94% | Val Acc: 0.34%
[Epoch 66] Train Acc: 0.85% | Val Acc: 0.34%
[Epoch 67] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 68] Train Acc: 0.85% | Val Acc: 0.34%
[Epoch 69] Train Acc: 0.89% | Val Acc: 0.34%
[Epoch 70] Train Acc: 0.72% | Val Acc: 0.34%
[Epoch 71] Train Acc: 0.85% | Val Acc: 0.34%
[Epoch 72] Train Acc: 0.77% | Val Acc: 0.34%
[Epoch 73] Train Acc: 0.72% | Val Acc: 0.34%
