                                                                                                                       
[Epoch 56] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 57] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 58] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 59] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 60] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 61] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 62] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 63] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 64] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 65] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 66] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 67] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 68] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 69] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 70] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 71] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 72] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 73] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 74] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 75] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 76] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 77] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 78] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 79] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 80] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 81] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 82] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 83] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 84] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 85] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 86] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 87] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 88] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 89] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 90] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 91] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 92] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 93] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 94] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 95] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 96] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 97] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 98] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 99] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 100] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 101] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 102] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 103] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 104] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 105] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 106] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 107] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 108] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 109] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 110] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 111] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 112] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 113] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 114] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 115] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 116] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 117] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 118] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 119] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 120] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 121] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 122] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 123] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 124] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 125] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 126] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 127] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 128] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 129] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 130] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 131] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 132] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 133] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 134] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 135] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 136] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 137] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 138] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 139] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 140] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 141] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 142] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 143] Train Acc: 1.24% | Val Acc: 1.02%
[Epoch 144] Train Acc: 1.24% | Val Acc: 1.02%
